<doc id="edoc_wd_1730-03-22" attrs="word" year="1730" month="03" day="22" corpus="1">
<head id="hl2">
Mit	w17
entstunde	w262
abermalen	w263
ein	w264
grosser	w265
Auslauf	w266
<g/>
/
des	w268
Volks	w269
vor	w270
dem	w271
Haus	w272
des	w273
Bestand=	w274
<g/>
=
deren	w276
Eß	w277
<g/>
=
Waaren	w279
Vincentz	w280
Resta	w281
<g/>
,
weilen	w283
er	w284
gemacht	w285
<g/>
/
daß	w287
das	w288
Fleisch	w289
theurer	w290
worden	w291
<g/>
/
und	w293
wel=len	w294
<g/>
=
sich	w296
in	w297
seinem	w298
Haus	w299
der	w300
Monsign	w301
<g/>
.
Ge-naro	w303
<g/>
-
<g/>
,
ein	w306
Bruder	w307
des	w308
Monsign	w309
<g/>
.
Santa-maria	w311
<g/>
-
<g/>
,
aufhielte	w314
<g/>
:
ein	w316
gleiches	w317
geschahe	w318
auch	w319
vor	w320
dem	w321
Palast	w322
des	w323
Seiffen	w324
<g/>
=
Ver=pachters	w326
<g/>
=
<g/>
/
alwo	w329
die	w330
Aufrührige	w331
mit	w332
Steinen	w333
alle	w334
Fenster	w335
einwarfen	w336
<g/>
:
es	w338
wur=den	w339
<g/>
=
aber	w341
dieselbe	w342
an	w343
beeden	w344
Orten	w345
durch	w346
die	w347
herzu	w348
<g/>
=
geloffene	w350
Wacht	w351
mit	w352
Hinter=lassung	w353
<g/>
=
eines	w355
Todten	w356
<g/>
/
so	w358
ein	w359
Diener	w360
der	w361
Fürstin	w362
Ginstiniani	w363
ware	w364
<g/>
/
vertriben	w366
<g/>
.
</p>
<p id="p7">
Jn	w368
der	w369
am	w370
Samstag	w371
fruhe	w372
von	w373
de=nen	w374
<g/>
=
Cardinälen	w376
gehaltenen	w377
Versamm=lung	w378
<g/>
=
<g/>
/
wurden	w381
der	w382
Furrier	w383
<g/>
/
der	w385
Keller	w386
<g/>
=
Meister	w388
<g/>
/
der	w390
Becker	w391
<g/>
/
und	w393
der	w394
Schaf=ner	w395
<g/>
=
des	w397
Päpstl	w398
<g/>
.
Palasts	w400
ihres	w401
Dienstes	w402
entsetzet	w403
<g/>
.
</p>
<p id="p8">
Sonntag	w405
Nachts	w406
wurden	w407
alle	w408
Haus	w409
<g/>
=
Gerähtschaften	w411
<g/>
/
und	w413
Silberwerck	w414
des	w415
Cardinal	w416
Coscia	w417
aus	w418
dem	w419
Haus	w420
des	w421
Marquis	w422
Abbati	w423
in	w424
die	w425
Engels	w426
<g/>
=
Burg	w428
überbracht	w429
<g/>
;
Seine	w431
Eminentz	w432
aber	w433
ver=fügten	w434
<g/>
=
sich	w436
in	w437
Begleitung	w438
des	w439
Dom	w440
<g/>
=
Herrn	w442
Aldrovandi	w443
<g/>
,
ein	w445
Sohn	w446
des	w447
hie=sigen	w448
<g/>
=
Bottschafters	w450
von	w451
Bologna	w452
<g/>
,
na=cher	w454
<g/>
=
Cisterna	w456
zu	w457
dem	w458
aldasigen	w459
Fürsten	w460
von	w461
Caserta	w462
<g/>
,
welcher	w464
sodann	w465
ein	w466
solches	w467
dem	w468
Heil	w469
<g/>
.
Collegio	w471
berichtete	w472
<g/>
.
</p>
<p id="p9">
Dienstag	w474
des	w475
Morgens	w476
entschlieffe	w477
se selig	w478
<g/>
=
</p>
<p id="p10">
lig	w482
in	w483
dem	w484
HErrn	w485
Jhre	w486
Hochwürden	w487
P	w488
<g/>
.
Tamburini	w490
<g/>
;
General	w492
der	w493
Societät	w494
JEsu	w495
<g/>
/
wie	w497
auch	w498
der	w499
Monsign	w500
<g/>
.
Maigrot	w502
ein	w503
Jesuit	w504
<g/>
/
welcher	w506
sein	w507
Leben	w508
in	w509
denen	w510
Missionen	w511
in	w512
China	w513
zugebracht	w514
<g/>
.
</p>
<p id="p11">
Donnerstag	w516
vor	w517
<g/>
=
Mittag	w519
wurden	w520
die	w521
Leich	w522
<g/>
=
Begängnussen	w524
für	w525
dem	w526
verstorbe=nen	w527
<g/>
=
Papsten	w529
bey	w530
einem	w531
herrlich	w532
<g/>
=
aufge=richteten	w534
<g/>
=
Trauer	w536
<g/>
=
Gerüst	w538
angefangen	w539
der	w540
Cardinal	w541
Lercari	w542
hielte	w543
mit	w544
Bey=wohnung	w545
<g/>
=
des	w547
Heil	w548
<g/>
.
Collegii	w550
das	w551
Seel	w552
<g/>
=
Amt	w554
<g/>
:
nach	w556
diesem	w557
hielten	w558
die	w559
Herren	w560
Cardinäle	w561
abermalen	w562
eine	w563
Versammlung	w564
<g/>
/
in	w566
welcher	w567
unter	w568
andern	w569
ein	w570
Schreiben	w571
von	w572
obgedachtem	w573
Cardinal	w574
Coscia	w575
<g/>
,
wel=cher	w577
<g/>
=
<g/>
/
wie	w580
man	w581
glaubet	w582
<g/>
/
in	w584
das	w585
Con-clave	w586
<g/>
-
kommen	w588
will	w589
<g/>
/
verlesen	w591
wurde	w592
<g/>
.
</p>
<p id="p12">
Gestern	w594
vor	w595
<g/>
=
Mittag	w597
begabe	w598
sich	w599
der	w600
Venetianische	w601
Bottschafter	w602
mit	w603
offentli=chem	w604
<g/>
=
Gepräng	w606
zu	w607
denen	w608
versammelten	w609
Cardinälen	w610
Ordens	w611
<g/>
=
Häuptern	w613
<g/>
/
um	w615
seine	w616
Commissionen	w617
von	w618
der	w619
Republic	w620
vorzubringen	w621
<g/>
/
und	w623
überreichete	w624
zugleich	w625
denenselben	w626
seine	w627
Credenz	w628
-Schreiben	w629
<g/>
.
Die	w631
Verpachtung	w632
der	w633
Seiffen	w634
ist	w635
aufge=hoben	w636
<g/>
=
worden	w638
<g/>
.
</p>
<head id="hl8">
Venedig	w640
11	w641
<g/>
.
Martii	w643
<g/>
.
</head>
<p id="p13">
Zu	w645
Ende	w646
abgewichener	w647
Wochen	w648
reis=sete	w649
<g/>
=
der	w651
Herr	w652
Aluise	w653
Mocenigo	w654
<g/>
,
als	w656
or-dinari	w657
<g/>
-
Bottschafter	w659
der	w660
alhiesigen	w661
Re-public	w662
<g/>
-
nacher	w664
Paris	w665
ab	w666
<g/>
/
von	w668
wannen	w669
sein	w670
Vorfahrer	w671
der	w672
Cav	w673
<g/>
.
Zacharias	w675
Ca-nal	w676
<g/>
-
auch	w678
als	w679
Bottschafter	w680
nacher	w681
Rom	w682
abgehen	w683
solle	w684
<g/>
.
Laut	w686
Briefen	w687
von	w688
Du-razzo	w689
<g/>
-
geniesset	w691
man	w692
sowol	w693
alda	w694
als	w695
in	w696
gantz	w697
Albanien	w698
guter	w699
Gesundheit	w700
<g/>
/
und	w702
Ruhe	w703
<g/>
.
Der	w705
Ertz	w706
<g/>
=
Bischof	w708
von	w709
Spalatro	w710
in	w711
Dalmatien	w712
<g/>
/
hat	w714
in	w715
seiner	w716
Residentz	w717
das	w718
Zeitliche	w719
gesegnet	w720
<g/>
.
Jn	w722
abgewiche=ner	w723
<g/>
=
Nacht	w725
seynd	w726
auch	w727
alhier	w728
Jhre	w729
Chur	w730
<g/>
=
Fürstl	w732
<g/>
.
Durchl	w734
<g/>
.
die	w736
Verwittibte	w737
Chur	w738
<g/>
=
Fürstin	w740
von	w741
Bayern	w742
THERESIA	w743
KU	w744
<g/>
-
NIGUNDA	w746
<g/>
,
Joannis	w748
III	w749
<g/>
.
Königs	w751
in	w752
</p>
<p id="p14">
Pohlen	w753
Sel	w754
<g/>
.
aus	w756
dem	w757
Hause	w758
Sobiesky	w759
<g/>
.
Tochter	w761
<g/>
/
in	w763
GOtt	w764
selig	w765
entschlaffen	w766
<g/>
.
</p>
<p id="p15">
Sie	w768
ward	w769
geboren	w770
den	w771
4ten	w772
Martii	w773
1676	w774
<g/>
.
vermählet	w776
durch	w777
Procuration	w778
zu	w779
Warschau	w780
den	w781
15den	w782
Augusti	w783
1694	w784
<g/>
.
<g/>
/
und	w787
2ten	w788
Janua-rii	w789
<g/>
-
1695	w791
<g/>
.
zu	w793
Wesel	w794
mit	w795
Jhrer	w796
Durchl	w797
<g/>
.
MA	w799
<g/>
-
XIMILIANO	w801
EMANUELE	w802
Chur	w803
<g/>
=
Fürsten	w805
<g/>
/
und	w807
Hertzogen	w808
in	w809
Bayern	w810
Sel	w811
<g/>
.
in	w813
der	w814
2ten	w815
Ehe	w816
<g/>
/
so	w818
den	w819
26	w820
<g/>
.
Februarii	w822
1726	w823
<g/>
.
seines	w825
Al=ters	w826
<g/>
=
64	w828
<g/>
.
gestorben	w830
<g/>
.
Aus	w832
dieser	w833
Ehe	w834
seynd	w835
geboren	w836
MARIA	w837
ANNA	w838
CAROLINA	w839
den	w840
4ten	w841
Aug	w842
<g/>
.
1696	w844
<g/>
.
<g/>
/
so	w847
den	w848
den	w849
29	w850
<g/>
.
Octob	w852
<g/>
.
1719	w854
<g/>
.
in	w856
den	w857
S	w858
<g/>
.
Claræ Clarae	w860
-Orden	w861
zu	w862
München	w863
getret=ten	w864
<g/>
=
<g/>
/
und	w867
anjetzo	w868
Theresia	w869
Emanuela	w870
von	w871
<g/>
=
Hertzen	w873
JESU	w874
heisset	w875
<g/>
:
CAROLUS	w877
ALBERTUS	w878
jetzt	w879
<g/>
=
Regierender	w881
Chur	w882
<g/>
=
Fürst	w884
<g/>
/
den	w886
6ten	w887
Au-gusti	w888
<g/>
-
1697	w890
<g/>
.
zu	w892
Brüssel	w893
<g/>
/
vermählet	w895
mit	w896
der	w897
Durchl	w898
<g/>
.
Ertz	w900
<g/>
=
Hertzogin	w902
Maria	w903
Amalia	w904
<g/>
,
Toch=ter	w906
<g/>
=
Kaisers	w908
Josephi	w909
Sel	w910
<g/>
.
Ged	w912
<g/>
.
<g/>
:
FERDINAN	w915
<g/>
-
DUS	w917
MARIA	w918
den	w919
5ten	w920
Augusti	w921
1699	w922
<g/>
.
<g/>
/
ver=mählet	w925
<g/>
=
mit	w927
Maria	w928
Anna	w929
Carolina	w930
<g/>
,
Philipp	w932
Wilhelms	w933
Pfaltz	w934
<g/>
=
Grafen	w936
zu	w937
Neuburg	w938
Toch=ter	w939
<g/>
=
<g/>
:
CLEMENS	w942
AUGUSTUS	w943
den	w944
16den	w945
Au-gusti	w946
<g/>
-
1700	w948
<g/>
.
jetzt	w950
<g/>
=
Regierender	w952
Chur	w953
<g/>
=
Fürst	w955
zu	w956
Cöln	w957
<g/>
/
Bischof	w959
zu	w960
Münster	w961
<g/>
/
Paderborn	w963
<g/>
/
und	w965
Hildesheim	w966
<g/>
/
ꝛc	w968
<g/>
.
und	w970
JOANNES	w971
THEO	w972
<g/>
-
DORUS	w974
den	w975
3ten	w976
Sept	w977
<g/>
.
<g/>
/
1703	w980
<g/>
.
dermaliger	w982
Bi=schof	w983
<g/>
=
zu	w985
Regenspurg	w986
<g/>
/
und	w988
Freysingen	w989
<g/>
.
</p>
<head id="hl9">
Aus	w991
Groß	w992
<g/>
=
Britannien	w994
<g/>
.
</head>
<head id="hl10">
Londen	w996
3	w997
<g/>
.
Martii	w999
<g/>
.
</head>
<p id="p16">
Gestern	w1001
arrivirte	w1002
alhier	w1003
ein	w1004
Expresser	w1005
aus	w1006
Spanien	w1007
mit	w1008
Sr	w1009
<g/>
.
Catholischen	w1011
Ma=jestät	w1012
<g/>
=
Ratification	w1014
des	w1015
Seorlischen	w1016
Tra=ctats	w1017
<g/>
=
<g/>
.
Mittwochs	w1020
wurde	w1021
zu	w1022
St	w1023
<g/>
.
James	w1025
geheimer	w1026
Raht	w1027
gehalten	w1028
<g/>
/
worinnen	w1030
der	w1031
Schluß	w1032
gefasset	w1033
worden	w1034
<g/>
/
einen	w1036
ausseror=dentlichen	w1037
<g/>
=
Bottschafter	w1039
nacher	w1040
Rußland	w1041
zu	w1042
schicken	w1043
<g/>
/
um	w1045
der	w1046
neu	w1047
<g/>
=
erwöhlten	w1049
Rus=sischen	w1050
<g/>
=
Majestät	w1052
zur	w1053
angetrettenen	w1054
Re=gierung	w1055
<g/>
=
Glük	w1057
zu	w1058
wünschen	w1059
<g/>
/
zu	w1061
welcher	w1062
Gesandtschaft	w1063
der	w1064
Lord	w1065
Carteret	w1066
in	w1067
An=merkung	w1068
<g/>
=
kommet	w1070
<g/>
.
Man	w1072
sagt	w1073
auch	w1074
<g/>
/
daß	w1076
Herr	w1077
Charles	w1078
Hotham	w1079
<g/>
/
einer	w1081
der	w1082
Kö=nigl	w1083
<g/>
=
<g/>
.
Cammer=	w1086
<g/>
=
<g/>
/
und	w1089
Parlaments	w1090
<g/>
=
Glied	w1092
für	w1093
Beverley	w1094
<g/>
/
als	w1096
Bottschafter	w1097
nach	w1098
dem	w1099
Königl	w1100
<g/>
.
Preussischen	w1102
Hofe	w1103
ge=hen	w1104
<g/>
=
solle	w1106
<g/>
:
und	w1108
heute	w1109
reisete	w1110
der	w1111
Lord	w1112
Ha Harinaton	w1113
<g/>
=
</p>
<p id="p17">
rinaton	w1117
mit	w1118
einer	w1119
specialen	w1120
Königl	w1121
Com-mission	w1122
<g/>
-
nach	w1124
dem	w1125
Frantzösischen	w1126
Hofe	w1127
ab	w1128
<g/>
.
Macher	w1130
Dünkirchen	w1131
seynd	w1132
zwey	w1133
In-genieurs	w1134
<g/>
-
gesandt	w1136
worden	w1137
<g/>
/
dortigen	w1139
Ha=sen	w1140
<g/>
=
zu	w1142
besichtigen	w1143
<g/>
.
</p>
<p id="p18">
Am	w1145
Mittwoch	w1146
übergabe	w1147
die	w1148
Königl	w1149
<g/>
.
Africanische	w1151
Compagnie	w1152
dem	w1153
Unter	w1154
<g/>
=
Hau=se	w1156
<g/>
=
eine	w1158
Bitt	w1159
<g/>
=
Schrift	w1161
<g/>
/
worinnen	w1163
selbige	w1164
den	w1165
grossen	w1166
Vortheil	w1167
<g/>
/
und	w1169
die	w1170
Wichtig=keit	w1171
<g/>
=
gedachter	w1173
Compagnie	w1174
in	w1175
Ansehung	w1176
der	w1177
Wolle	w1178
<g/>
/
und	w1180
anderen	w1181
Manufacturen	w1182
<g/>
/
wie	w1184
auch	w1185
Verschaffung	w1186
deren	w1187
Schwar=tzen	w1188
<g/>
=
an	w1190
die	w1191
Colonien	w1192
<g/>
/
vorstellete	w1194
<g/>
/
mit	w1196
Bitte	w1197
<g/>
/
daß	w1199
man	w1200
sie	w1201
im	w1202
Stande	w1203
setzen	w1204
möchte	w1205
<g/>
/
die	w1207
Schantzen	w1208
<g/>
/
und	w1210
Schlösser	w1211
<g/>
/
welche	w1213
sie	w1214
zur	w1215
Sicherheit	w1216
solches	w1217
Han=dels	w1218
<g/>
=
auf	w1220
denen	w1221
Africanischen	w1222
Cüsten	w1223
an=legen	w1224
<g/>
=
<g/>
/
und	w1227
auf	w1228
ihre	w1229
Kosten	w1230
unterhalten	w1231
lassen	w1232
<g/>
/
ferners	w1234
in	w1235
guten	w1236
Defensions	w1237
-Stand	w1238
halten	w1239
zu	w1240
können	w1241
<g/>
:
es	w1243
wurde	w1244
aber	w1245
nach	w1246
geschehener	w1247
Anfrage	w1248
<g/>
/
ob	w1250
man	w1251
sothane	w1252
Bitt	w1253
<g/>
=
Schrift	w1255
einer	w1256
Commission	w1257
zur	w1258
Un=tersuchung	w1259
<g/>
=
anheim	w1261
stellen	w1262
solte	w1263
<g/>
?
dieses	w1265
samt	w1266
der	w1267
Bitt	w1268
<g/>
=
Schrift	w1270
mit	w1271
134	w1272
<g/>
.
Stim=men	w1274
<g/>
=
gegen	w1276
90	w1277
<g/>
.
verworfen	w1279
<g/>
.
Selbigen	w1281
Tags	w1282
beschlossen	w1283
die	w1284
Gemeinen	w1285
dem	w1286
Kö=nig	w1287
<g/>
=
eine	w1289
unterthänige	w1290
Zuschrift	w1291
zu	w1292
über=reichen	w1293
<g/>
=
<g/>
/
und	w1296
darinnen	w1297
zu	w1298
bitten	w1299
<g/>
/
daß	w1301
Se	w1302
<g/>
.
Majestät	w1304
denen	w1305
behörigen	w1306
Bedien=ten	w1307
<g/>
=
befehlen	w1309
möge	w1310
<g/>
/
dem	w1312
Unter	w1313
<g/>
=
Hause	w1315
eine	w1316
Rechnung	w1317
des	w1318
im	w1319
Exchequer	w1320
<g/>
/
oder	w1322
Rent	w1323
<g/>
=
Cammer	w1325
bezahlten	w1326
Geldes	w1327
vom	w1328
29sten	w1329
Sept	w1330
<g/>
.
1728	w1332
<g/>
.
an	w1334
bis	w1335
dahin	w1336
1729	w1337
<g/>
.
st	w1339
<g/>
.
v	w1341
<g/>
.
aus	w1343
dem	w1344
Capital	w1345
<g/>
,
so	w1347
unter	w1348
der	w1349
Königin	w1350
Anna	w1351
<g/>
/
zu	w1353
Hebung	w1354
1	w1355
<g/>
.
Million	w1357
<g/>
/
und	w1359
500	w1360
<g/>
.
tausend	w1362
Pf	w1363
<g/>
.
Sterlings	w1365
vermit=telst	w1366
<g/>
=
einer	w1368
Lotterie	w1369
<g/>
,
bewilliget	w1371
worden	w1372
<g/>
/
imgleichen	w1374
was	w1375
für	w1376
Unkosten	w1377
noch	w1378
dar=über	w1379
<g/>
=
jährlich	w1381
aufgegangen	w1382
<g/>
/
vorzulegen	w1384
<g/>
.
Es	w1386
wurde	w1387
auch	w1388
denen	w1389
Bedienten	w1390
anbe=fohlen	w1391
<g/>
=
<g/>
/
eine	w1394
Rechnung	w1395
des	w1396
Beytrags	w1397
der	w1398
Auflage	w1399
auf	w1400
das	w1401
Saltz	w1402
<g/>
/
so	w1404
in	w1405
denen	w1406
letzten	w1407
7	w1408
<g/>
.
Jahren	w1410
in	w1411
das	w1412
Königreich	w1413
ein eingeführet	w1414
<g/>
=
</p>
<p id="p19">
geführet	w1416
worden	w1417
<g/>
/
und	w1419
zwar	w1420
von	w1421
jedem	w1422
Jahr	w1423
besonders	w1424
<g/>
/
vor	w1426
dem	w1427
Hause	w1428
abstat=ten	w1429
<g/>
=
zu	w1431
lassen	w1432
<g/>
.
</p>
<p id="p20">
Gestern	w1434
examinirten	w1435
die	w1436
Lords	w1437
in	w1438
ei=ner	w1439
<g/>
=
grossen	w1441
Commission	w1442
die	w1443
Bill	w1444
wegen	w1445
der	w1446
Länderey	w1447
<g/>
=
Taxe	w1449
<g/>
/
und	w1451
hielten	w1452
sie	w1453
ge=nehm	w1454
<g/>
=
<g/>
.
Der	w1457
Cantzler	w1458
der	w1459
Excheguers	w1460
legte	w1461
denen	w1462
Gemeinen	w1463
viele	w1464
Schriften	w1465
<g/>
/
und	w1467
Nachrichten	w1468
von	w1469
Dünkirchen	w1470
<g/>
/
seit	w1472
dessen	w1473
Hafens	w1474
Demolirung	w1475
<g/>
/
wie	w1477
auch	w1478
eine	w1479
Abschrift	w1480
der	w1481
im	w1482
Jahr	w1483
1717	w1484
<g/>
.
in	w1486
dem	w1487
Haag	w1488
zwischen	w1489
Sr	w1490
<g/>
.
Majestät	w1492
von	w1493
Gros	w1494
<g/>
=
Britannien	w1496
<g/>
/
der	w1498
Cron	w1499
Frankreich	w1500
<g/>
/
und	w1502
denen	w1503
Herren	w1504
General	w1505
<g/>
=
Staaten	w1507
ge=schlossenen	w1508
<g/>
=
Tripel	w1510
<g/>
=
Alliantz	w1512
<g/>
,
vor	w1514
<g/>
.
Nach=hero	w1516
<g/>
=
lase	w1518
man	w1519
zum	w1520
erstenmal	w1521
eine	w1522
Bill	w1523
wegen	w1524
Bestraffung	w1525
der	w1526
Aufrührer	w1527
<g/>
/
und	w1529
Uberläuffer	w1530
<g/>
.
</p>
<p id="p21">
Heute	w1532
geschahe	w1533
bey	w1534
denen	w1535
Gemeinen	w1536
eben	w1537
dergleichen	w1538
wegen	w1539
Continuirung	w1540
der	w1541
Taxe	w1542
auf	w1543
das	w1544
Maltz	w1545
<g/>
/
u	w1547
<g/>
.
s	w1549
<g/>
.
w	w1551
<g/>
.
Nach=deme	w1553
<g/>
=
hierauf	w1555
das	w1556
Haus	w1557
eine	w1558
grosse	w1559
Com-mission	w1560
<g/>
-
<g/>
,
um	w1563
über	w1564
die	w1565
Mittel	w1566
zu	w1567
Hebung	w1568
deren	w1569
übrigen	w1570
Subsidien	w1571
zu	w1572
deliberiren	w1573
<g/>
/
ausgemacht	w1575
<g/>
/
wurden	w1577
folgende	w1578
Resolu-tionen	w1579
<g/>
-
gefasset	w1581
<g/>
:
<g/>
;
1	w1584
<g/>
)
Sollen	w1586
dem	w1587
König	w1588
bewilliget	w1589
werden	w1590
23452	w1591
<g/>
.
Pf	w1593
<g/>
.
Sterl	w1595
<g/>
.
für	w1597
die	w1598
im	w1599
Hospital	w1600
zu	w1601
Chelsea	w1602
eingeschrieben=ne	w1603
<g/>
=
<g/>
/
obgleich	w1606
nicht	w1607
darinnen	w1608
wohnhafte	w1609
Pensionairs	w1610
<g/>
,
auf	w1612
das	w1613
gantze	w1614
Jahr	w1615
1730	w1616
<g/>
.
2	w1618
<g/>
.
<g/>
)
28780	w1621
Pf	w1622
<g/>
.
Sterl	w1624
<g/>
.
12	w1626
<g/>
.
Schild	w1628
<g/>
.
5	w1630
<g/>
.
drey	w1632
Viertel	w1633
Stüv	w1634
<g/>
.
zu	w1636
Bestreitung	w1637
der	w1638
vom	w1639
Parlament	w1640
selber	w1641
gemachten	w1642
ausseror=dentlichen	w1643
<g/>
=
Depensen	w1645
<g/>
/
dazu	w1647
vorhero	w1648
keine	w1649
Verfügung	w1650
gemacht	w1651
worden	w1652
<g/>
.
3	w1654
<g/>
.
<g/>
)
64000	w1657
<g/>
.
Pf	w1659
<g/>
.
Sterl	w1661
<g/>
.
für	w1663
die	w1664
auf	w1665
halben	w1666
Sold	w1667
ste=hende	w1668
<g/>
=
Officiers	w1670
sowol	w1671
zu	w1672
Wasser	w1673
als	w1674
zu	w1675
Lande	w1676
<g/>
.
4	w1678
<g/>
.
<g/>
)
10000	w1681
<g/>
.
Pf	w1683
<g/>
.
Sterl	w1685
<g/>
.
zu	w1687
ser=neren	w1688
<g/>
=
Unterhalt	w1690
des	w1691
Hospitals	w1692
zu	w1693
Green=wich	w1694
<g/>
=
<g/>
.
5	w1697
<g/>
.
<g/>
)
115446	w1700
<g/>
.
Pfund	w1702
Sterling	w1703
<g/>
/
und	w1705
3	w1706
<g/>
.
Stüver	w1708
zu	w1709
Vergütung	w1710
der	w1711
Non-valeurs	w1712
<g/>
-
von	w1714
dem	w1715
Jahr	w1716
1729	w1717
<g/>
.
6	w1719
<g/>
.
<g/>
)
63344	w1722
<g/>
.
Pfund	w1724
Sterling	w1725
16	w1726
<g/>
.
Schilling	w1728
<g/>
/
5	w1730
<g/>
.
ein	w1732
</p>
<p id="p22">
halben	w1737
Stüver	w1738
zu	w1739
Vergütung	w1740
deren	w1741
Non-valeurs	w1742
<g/>
-
des	w1744
algemeinen	w1745
Capitals	w1746
von	w1747
724849	w1748
<g/>
.
Pfund	w1750
Sterling	w1751
<g/>
/
6	w1753
<g/>
.
Schilling	w1755
<g/>
/
10	w1757
<g/>
.
ein	w1759
fünftel	w1760
Stüver	w1761
für	w1762
das	w1763
auf	w1764
St	w1765
<g/>
.
Michaelis	w1767
1729	w1768
<g/>
.
abgelauffene	w1770
vorige	w1771
Jahr	w1772
<g/>
.
7	w1774
<g/>
.
<g/>
)
77127	w1777
<g/>
.
Pf	w1779
<g/>
.
Sterling	w1781
<g/>
/
11	w1783
<g/>
.
Schilling	w1785
<g/>
/
3	w1787
<g/>
.
Sto	w1789
<g/>
.
zu	w1791
denen	w1792
Unkosten	w1793
des	w1794
Comtoirs	w1795
der	w1796
ordentlichen	w1797
Kriegs	w1798
<g/>
=
Ausgaben	w1800
für	w1801
die	w1802
Macht	w1803
zu	w1804
Lande	w1805
<g/>
/
auf	w1807
gegenwärtiges	w1808
1730	w1809
<g/>
.
Jahr	w1811
<g/>
.
8	w1813
<g/>
.
<g/>
)
End=lichen	w1816
<g/>
=
wolte	w1818
man	w1819
Sr	w1820
<g/>
.
Majestät	w1822
17272	w1823
<g/>
.
Pf	w1825
<g/>
.
Sterl	w1827
<g/>
.
18	w1829
<g/>
.
Schil	w1831
<g/>
.
9	w1833
<g/>
.
Stüv	w1835
<g/>
.
zu	w1837
denen	w1838
ausserordentlichen	w1839
Unkosten	w1840
gedachten	w1841
