<doc id="edoc_wd_1773-11-13" attrs="word" year="1773" month="11" day="13" corpus="1">
<head id="hl1">
Lißabon	w29
de	w181
Saint	w182
Chamand	w183
<g/>
,
der	w185
Graf	w186
de	w187
Saint	w188
Hermine	w189
<g/>
,
der	w191
Vicomte	w192
de	w193
la	w194
Ro=che	w195
<g/>
=
<g/>
=
Aimont	w198
<g/>
,
der	w200
Graf	w201
de	w202
Montaignac	w203
<g/>
,
der	w205
Graf	w206
d'	w207
Harville	w208
<g/>
,
und	w210
der	w211
Marquis	w212
de	w213
Chesmes	w214
<g/>
.
Der	w216
Marquis	w217
de	w218
Brancas	w219
ist	w220
am	w221
21	w222
<g/>
.
abgereiset	w224
<g/>
.
Die	w226
Staatsdamen	w227
<g/>
,
und	w229
das	w230
übrige	w231
zur	w232
Bedienung	w233
der	w234
künfti=gen	w235
<g/>
=
Frau	w237
Gräsinn	w238
von	w239
Artois	w240
bestimmte	w241
Frauenzimmer	w242
gehet	w243
nach	w244
und	w245
nach	w246
von	w247
hier	w248
ab	w249
<g/>
.
</p>
<p id="p7">
Der	w251
Marquis	w252
de	w253
Morangies	w254
<g/>
,
Vater	w256
des	w257
Grafen	w258
dieses	w259
Namens	w260
<g/>
,
hat	w262
von	w263
dem	w264
Kö=nig	w265
<g/>
=
einen	w267
jährlichen	w268
auf	w269
die	w270
außerordentliaußerordentliche	w271
<g/>
=
</p>
<p id="p8">
che	w273
Einnahme	w274
des	w275
Kriegsstaats	w276
angewiesenen	w277
Gnadengehalt	w278
bekommen	w279
<g/>
,
bis	w281
eine	w282
Statt=halterschaft	w283
<g/>
=
erlediget	w285
seyn	w286
wird	w287
<g/>
.
Diese	w289
Wohlthat	w290
<g/>
,
nebst	w292
einer	w293
dem	w294
Abbe	w295
de	w296
Mo=ragies	w297
<g/>
=
verliehenen	w299
Abbtey	w300
<g/>
,
beweise	w302
<g/>
,
daß	w304
Se	w305
<g/>
.
Mnjestät	w307
von	w308
der	w309
Unschuld	w310
des	w311
Grafen	w312
überzeüget	w313
sind	w314
<g/>
.
</p>
<p id="p9">
Herr	w316
Linguet	w317
ist	w318
nach	w319
Chartres	w320
<g/>
,
Herr	w322
de	w323
ia	w324
Morandiere	w325
nach	w326
Bayeux	w327
<g/>
,
Herr	w329
Mille	w330
nach	w331
Dyon	w332
<g/>
,
und	w334
Herr	w335
Bailleux	w336
nach	w337
Sois=sons	w338
<g/>
=
verwiesen	w340
worden	w341
<g/>
.
Diese	w343
berühmte	w344
Advokaten	w345
hatten	w346
gewisse	w347
Vertheidigungs=schriften	w348
<g/>
=
für	w350
den	w351
Herrn	w352
de	w353
Bellegarde	w354
un=terschrieben	w355
<g/>
=
<g/>
.
</p>
<p id="p10">
Dem	w358
reichen	w359
Generalpachter	w360
<g/>
,
Herrn	w362
de	w363
Mariekes	w364
wurde	w365
unlängst	w366
ein	w367
Brief	w368
ohne	w369
Unterschrift	w370
zugestellet	w371
<g/>
,
worinnen	w373
er	w374
mit	w375
dem	w376
Tode	w377
bedrohet	w378
wurde	w379
<g/>
,
wenn	w381
er	w382
sich	w383
nicht	w384
gefallen	w385
ließe	w386
<g/>
,
360	w388
Louisdvor	w389
in	w390
einem	w391
sehr	w392
genau	w393
bezeichneten	w394
hohlen	w395
Baum	w396
der	w397
Elyseischen	w398
Felder	w399
zu	w400
legen	w401
<g/>
.
Man	w403
gabe	w404
dem	w405
Herrn	w406
Generalpolizeylieutenant	w407
von	w408
die=sein	w409
<g/>
=
Briefe	w411
Nachricht	w412
<g/>
,
und	w414
der	w415
Schriftsteller	w416
davon	w417
ist	w418
würklich	w419
am	w420
bemerkten	w421
Orte	w422
Nachts	w423
den	w424
17	w425
<g/>
.
dieses	w427
betretten	w428
worden	w429
<g/>
.
Er	w431
ist	w432
aus	w433
einem	w434
guten	w435
Hause	w436
<g/>
,
wohin	w438
der	w439
Herr	w440
de	w441
Mae	w442
zieres	w443
öfters	w444
zu	w445
kommen	w446
pflegte	w447
<g/>
.
</p>
<p id="p11">
Die	w449
Samaritanin	w450
<g/>
,
ein	w452
bekanntes	w453
Denk=mal	w454
<g/>
=
der	w456
neuen	w457
Brücke	w458
<g/>
,
ist	w460
fast	w461
gänzlich	w462
wie=der	w463
<g/>
=
hergestellet	w465
<g/>
.
Doch	w467
finden	w468
die	w469
Kenner	w470
mehr	w471
Aufwand	w472
als	w473
Geschmack	w474
dabey	w475
<g/>
,
und	w477
sonderlich	w478
wird	w479
das	w480
Auge	w481
durch	w482
übel	w483
ange=brachte	w484
<g/>
=
Vergoldungen	w486
der	w487
Figuren	w488
beleidiget	w489
<g/>
.
</p>
<p id="p12">
Man	w491
spricht	w492
von	w493
Errichtung	w494
10	w495
neuer	w496
Provinzial	w497
<g/>
=
Militzregimeuter	w499
<g/>
.
</p>
<p id="p13">
Die	w501
Generallissecuranzgesellschaft	w502
macht	w503
durch	w504
einen	w505
Entwurf	w506
dem	w507
Publikum	w508
eine	w509
Aufmunterung	w510
<g/>
,
die	w512
Häuser	w513
dieser	w514
Haupt=stadt	w515
<g/>
=
<g/>
,
gegen	w518
gewisse	w519
Bedingnißen	w520
<g/>
,
für	w522
Feu=ersschaden	w523
<g/>
=
versicheeen	w525
zu	w526
lassen	w527
<g/>
.
</p>
<p id="p14">
Nach	w529
einigen	w530
Briefen	w531
aus	w532
den	w533
Provin=gen	w534
<g/>
=
ist	w536
die	w537
Witterung	w538
daselbst	w539
eben	w540
so	w541
schön	w542
<g/>
,
wie	w544
hier	w545
und	w546
kann	w547
den	w548
Feldarbeiten	w549
nicht	w550
günstiger	w551
seyn	w552
<g/>
.
Die	w554
Weinlese	w555
ist	w556
frühzeitig	w557
<g/>
,
und	w559
reichlich	w560
ausgefallen	w561
<g/>
.
</p>
<head id="hl3">
Ein	w563
anderes	w564
Paris	w565
den	w566
29	w567
<g/>
.
Weinm	w569
<g/>
.
</head>
<p id="p15">
Die	w571
Frau	w572
Dauphine	w573
K	w574
<g/>
.
H	w576
<g/>
.
will	w578
ihre	w579
Bälle	w580
in	w581
ihren	w582
eigenen	w583
Zimmern	w584
geben	w585
<g/>
,
und	w587
sich	w588
nicht	w589
mehr	w590
des	w591
Schauspielsaals	w592
<g/>
,
welcher	w594
schon	w595
dazu	w596
in	w597
Bereitschaft	w598
gehalten	w599
ware	w600
<g/>
,
bedienen	w602
<g/>
.
</p>
<p id="p16">
Die	w604
Herrn	w605
d'Apchon	w606
<g/>
,
d'	w608
Escor	w609
de	w610
Mon=tauban	w611
<g/>
=
<g/>
,
de	w614
Fitziames	w615
<g/>
,
de	w617
Cosse	w618
d'Anjos	w619
<g/>
,
und	w621
de	w622
Poyanne	w623
sind	w624
zu	w625
Obersten	w626
der	w627
neuen	w628
Provinzial	w629
<g/>
=
Militzregimenter	w631
ernannt	w632
wor=den	w633
<g/>
=
<g/>
.
</p>
<p id="p17">
Den	w636
Prinzen	w637
von	w638
Ghistelle	w639
<g/>
,
Grand	w641
von	w642
Spanien	w643
hat	w644
das	w645
Unglück	w646
betroffen	w647
<g/>
,
auf	w649
der	w650
Jagd	w651
von	w652
einem	w653
seiner	w654
Freunde	w655
<g/>
,
der	w657
eben	w658
einen	w659
Fuchs	w660
schiessen	w661
wollte	w662
<g/>
,
tödlich	w664
verwun=det	w665
<g/>
=
zu	w667
werden	w668
<g/>
.
</p>
<p id="p18">
Hingegen	w670
ist	w671
der	w672
Mann	w673
<g/>
,
welcher	w675
jüngst=hin	w676
<g/>
=
auf	w678
der	w679
Jagd	w680
des	w681
Königs	w682
von	w683
einem	w684
Hirschen	w685
niedergestossen	w686
worden	w687
geheilet	w688
<g/>
,
und	w690
hat	w691
von	w692
der	w693
Freygebigkeit	w694
Sr	w695
<g/>
.
Majestät	w697
ein	w698
Bauergut	w699
erhalten	w700
<g/>
,
wovon	w702
er	w703
sich	w704
nebst	w705
den	w706
seinigen	w707
<g/>
,
gemächlich	w709
wird	w710
nähren	w711
kön=nen	w712
<g/>
=
<g/>
.
</p>
<p id="p19">
Der	w715
König	w716
in	w717
Preußen	w718
laßt	w719
allhier	w720
un=ter	w721
<g/>
=
Aussicht	w723
des	w724
Herrn	w725
van	w726
Loo	w727
<g/>
,
ein	w729
Grab=mal	w730
<g/>
=
verfertigen	w732
<g/>
;
um	w734
das	w735
Andenken	w736
des	w737
Hrn	w738
<g/>
.
Marquis	w740
d	w741
Argens	w742
zu	w743
beehren	w744
<g/>
.
Dem	w746
Ver=laut	w747
<g/>
=
nach	w749
wird	w750
solches	w751
zu	w752
Toulon	w753
<g/>
,
wo	w755
der	w756
Marquis	w757
gestorben	w758
ist	w759
<g/>
,
aufgerichtet	w761
werden	w762
<g/>
.
</p>
<p id="p20">
Für	w764
den	w765
Hrn	w766
<g/>
.
Laurent	w768
hat	w769
man	w770
folgende	w771
wohlgerathene	w772
Grabschrift	w773
verfertiget	w774
<g/>
:
</p>
<p id="p21">
Arréte	w776
Toi	w777
Passant	w778
<g/>
,
iey	w780
git	w781
un	w782
grand	w783
Homme	w784
dont	w785
de	w786
divin	w787
Genie	w788
<g/>
,
Ctonna	w790
les	w791
mortels	w792
ses	w793
travaux	w794
inouis	w795
pour	w796
l'Escaut	w797
<g/>
&
la	w799
somme	w800
à	w801
coté	w802
d'Arcliimedcaux	w803
Palais	w804
eternels	w805
ont	w806
assuré	w807
sa	w808
Place	w809
<g/>
,
<g/>
&
dans	w812
l'ancienne	w813
Rome	w814
on	w815
ent	w816
en	w817
son	w818
honneur	w819
érigé	w820
des	w821
Autels	w822
<g/>
.
</p>
<head id="hl4">
Turin	w824
den	w825
22	w826
<g/>
.
Weinm	w828
<g/>
.
</head>
<p id="p22">
Am	w830
16	w831
<g/>
.
dieses	w833
Vormittag	w834
machte	w835
der	w836
fran=zösische	w837
<g/>
=
Bottschafter	w839
die	w840
feyerliche	w841
Anwer=bung	w842
<g/>
=
zu	w844
Moncalier	w845
um	w846
die	w847
Prinzeßinn	w848
Ma=ria	w849
<g/>
=
Theresia	w851
zur	w852
Gemahlinn	w853
fur	w854
den	w855
Hrn	w856
<g/>
.
Grafen	w858
von	w859
Artois	w860
<g/>
.
Nachmittag	w862
erhob	w863
sich	w864
der	w865
Hof	w866
nach	w867
Stupinigi	w868
<g/>
,
woselbst	w870
am	w871
17	w872
<g/>
.
Appartement	w874
<g/>
,
Concert	w876
<g/>
,
und	w878
Feuerwerk	w879
gehalten	w880
worden	w881
<g/>
.
Am	w883
18	w884
<g/>
.
beliebten	w886
Se	w887
<g/>
.
Majest	w889
<g/>
.
mit	w891
dem	w892
ganzen	w893
Hofe	w894
auf	w895
die	w896
Hirsch=lagd	w897
<g/>
=
zu	w899
gehen	w900
<g/>
.
Am	w902
20	w903
<g/>
.
wurde	w905
zu	w906
Stupi=nigi	w907
<g/>
=
in	w909
einem	w910
reichlich	w911
ausgeschmückten	w912
Saa=le	w913
<g/>
=
Ball	w915
gehalten	w916
<g/>
.
Der	w918
ganze	w919
Vordertheil	w920
des	w921
königl	w922
<g/>
.
Schlosses	w924
war	w925
prächtig	w926
beleuch=tet	w927
<g/>
=
<g/>
,
und	w930
auf	w931
der	w932
Strasse	w933
nach	w934
Turin	w935
waren	w936
verschiedene	w937
zierlich	w938
beleuchtete	w939
Triumpfbs=gen	w940
<g/>
=
eingetheilet	w942
<g/>
,
wie	w944
auch	w945
die	w946
Bäume	w947
der	w948
Allee	w949
mit	w950
großen	w951
Laterren	w952
behenket	w953
<g/>
.
Hin	w955
</p>
<p id="p23">
und	w956
wieder	w957
sahe	w958
man	w959
Sinnbilder	w960
<g/>
,
und	w962
Zifferen	w963
<g/>
,
so	w965
an	w966
die	w967
Fußgesielle	w968
einiger	w969
Säu=len	w970
<g/>
=
angebracht	w972
<g/>
,
und	w974
mit	w975
einer	w976
Menge	w977
klei=ner	w978
<g/>
=
Lichter	w980
umgeben	w981
waren	w982
<g/>
,
so	w984
so	w985
daß	w986
das	w987
ganze	w988
zusammen	w989
dem	w990
Auge	w991
einen	w992
ungemei=nen	w993
<g/>
=
reitzenden	w995
Anblick	w996
vorstellte	w997
<g/>
.
Gestern	w999
ist	w1000
der	w1001
Hof	w1002
nach	w1003
Moncalieri	w1004
zurückgegangen	w1005
<g/>
,
Morgen	w1007
wird	w1008
der	w1009
Ehrcontrakt	w1010
geschlossen	w1011
<g/>
,
und	w1013
am	w1014
24	w1015
<g/>
.
die	w1017
Vermählung	w1018
der	w1019
Frau	w1020
Gräfinn	w1021
von	w1022
Artois	w1023
begangen	w1024
werden	w1025
<g/>
.
</p>
<head id="hl5">
Rom	w1027
den	w1028
27	w1029
<g/>
.
Weinm	w1031
<g/>
.
</head>
<p id="p24">
Se	w1033
<g/>
.
Heiligkeit	w1035
haben	w1036
vor	w1037
dero	w1038
nahen	w1039
Ab=reise	w1040
<g/>
=
von	w1042
Castel	w1043
Gandolso	w1044
unter	w1045
die	w1046
Haus=arme	w1047
<g/>
=
daselbst	w1049
Geld	w1050
<g/>
,
Kleidungen	w1052
<g/>
,
und	w1054
Bett=gewand	w1055
<g/>
=
austeilen	w1057
lassen	w1058
<g/>
.
</p>
<p id="p25">
Abgewichenen	w1060
Freytag	w1061
hat	w1062
Monsignor	w1063
Al=fani	w1064
<g/>
=
sich	w1066
in	w1067
das	w1068
römische	w1069
Kollegium	w1070
begeben	w1071
<g/>
,
und	w1073
einiges	w1074
in	w1075
dasiger	w1076
Hauskapelle	w1077
befind=liches	w1078
<g/>
=
überftüßiges	w1080
Silbergeschmeide	w1081
in	w1082
das	w1083
öf=fentliche	w1084
<g/>
=
Pfandhaus	w1086
bringen	w1087
lassen	w1088
<g/>
.
</p>
<p id="p26">
Montags	w1090
wurde	w1091
die	w1092
gewöhnliche	w1093
Congre=gation	w1094
<g/>
=
über	w1096
die	w1097
Jesuitenangelegenheiten	w1098
ge=halten	w1099
<g/>
=
<g/>
,
nach	w1102
welcher	w1103
der	w1104
Herr	w1105
Cardinal	w1106
Cor=sini	w1107
<g/>
=
<g/>
,
und	w1110
der	w1111
Monsignor	w1112
Alsani	w1113
einige	w1114
für	w1115
die	w1116
öffentliche	w1117
Schulen	w1118
bestimmte	w1119
Lehrmeister	w1120
vor	w1121
sich	w1122
gelassen	w1123
haben	w1124
<g/>
.
</p>
<head id="hl6">
Maxland	w1126
den	w1127
27	w1128
<g/>
.
Weinm	w1130
<g/>
.
</head>
<p id="p27">
Die	w1132
hiesige	w1133
Regierung	w1134
ist	w1135
bedacht	w1136
<g/>
,
den	w1138
durch	w1139
Aufhebung	w1140
der	w1141
Jesuiten	w1142
entstandenen	w1143
Abgang	w1144
zu	w1145
ersetzen	w1146
<g/>
,
und	w1148
die	w1149
Schulen	w1150
<g/>
,
so	w1152
ehestens	w1153
wieder	w1154
eröfnet	w1155
werden	w1156
sollen	w1157
<g/>
,
mit	w1159
neuen	w1160
Lehreren	w1161
zu	w1162
versehen	w1163
<g/>
.
</p>
<p id="p28">
Auf	w1165
der	w1166
Strasse	w1167
<g/>
,
so	w1169
nach	w1170
Pavia	w1171
führet	w1172
sind	w1173
einige	w1174
Bösewichter	w1175
in	w1176
das	w1177
Haus	w1178
eines	w1179
wohlhabenden	w1180
Mannes	w1181
eingebrochen	w1182
<g/>
,
haben	w1184
ihn	w1185
nebst	w1186
Frau	w1187
und	w1188
Kindern	w1189
jämmerlich	w1190
er=mordet	w1191
<g/>
=
<g/>
,
und	w1194
alles	w1195
rein	w1196
ausgeplündert	w1197
<g/>
,
ohne	w1199
daß	w1200
man	w1201
bisher	w1202
die	w1203
Thäter	w1204
ausfündig	w1205
hät=te	w1206
<g/>
=
machen	w1208
können	w1209
<g/>
.
</p>
<head id="hl7">
Livorno	w1211
den	w1212
29	w1213
<g/>
.
Weinm	w1215
<g/>
.
</head>
<p id="p29">
Heute	w1217
sind	w1218
der	w1219
Herr	w1220
Major	w1221
Biecki	w1222
<g/>
,
und	w1224
der	w1225
Herr	w1226
Adjutant	w1227
Boßicki	w1228
<g/>
,
so	w1230
von	w1231
der	w1232
rus=sischen	w1233
<g/>
=
Flotte	w1235
abgefertiget	w1236
worden	w1237
<g/>
,
um	w1239
ih=rer	w1240
<g/>
=
rußischen	w1242
kais	w1243
<g/>
.
Maj	w1245
<g/>
.
die	w1247
Operationen	w1248
zur	w1249
See	w1250
von	w1251
diesem	w1252
laufenden	w1253
Jahre	w1254
einzuberich=ten	w1255
<g/>
=
<g/>
,
über	w1258
Land	w1259
nach	w1260
Petersburg	w1261
von	w1262
hier	w1263
ab=gegangen	w1264
<g/>
=
</p>
<p id="p30">
Seit	w1266
den	w1267
23	w1268
<g/>
.
bis	w1270
28	w1271
<g/>
.
haben	w1273
55	w1274
<g/>
.
mit	w1276
Ge=treyd	w1277
<g/>
=
<g/>
,
Bohnen	w1280
<g/>
,
und	w1282
derley	w1283
Sorten	w1284
belade=ne	w1285
<g/>
=
Schiffe	w1287
von	w1288
unterschiedlichen	w1289
Nationen	w1290
<g/>
,
de=ren	w1292
<g/>
=
Ladung	w1294
meist	w1295
nach	w1296
unterschiedlichen	w1297
Plä=tzen	w1298
<g/>
=
Jtaliens	w1300
bestimmet	w1301
ist	w1302
<g/>
,
unseren	w1304
Hafen	w1305
be=sucht	w1306
<g/>
=
<g/>
.
</p>
<p id="p31">
Mit	w1309
der	w1310
am	w1311
23	w1312
<g/>
.
hier	w1314
eingelaufenen	w1315
rußi=schen	w1316
<g/>
=
Fregatte	w1318
der	w1319
Gregor	w1320
hat	w1321
man	w1322
vernom=ien	w1323
<g/>
=
<g/>
,
daß	w1326
verschiedene	w1327
rußische	w1328
Estadern	w1329
vie=len	w1330
<g/>
=
türkischen	w1332
Städten	w1333
einen	w1334
sehr	w1335
beträchtli=chen	w1336
<g/>
=
Schaden	w1338
zugefügt	w1339
hätten	w1340
<g/>
.
Alle	w1342
feind=liche	w1343
<g/>
=
Magazinen	w1345
von	w1346
Capo	w1347
santa	w1348
Maria	w1349
längst	w1350
der	w1351
Küsie	w1352
bis	w1353
auf	w1354
Bodrun	w1355
<g/>
,
und	w1357
selbst	w1358
dieser	w1359
Ort	w1360
<g/>
,
wären	w1362
gänzlich	w1363
zerstöhret	w1364
worden	w1365
<g/>
,
und	w1367
wiewohl	w1368
der	w1369
Verlust	w1370
der	w1371
Türken	w1372
zu	w1373
Stanchio	w1374
etwas	w1375
geringer	w1376
gewesen	w1377
wäre	w1378
<g/>
,
so	w1380
könne	w1381
man	w1382
doch	w1383
ihre	w1384
Todte	w1385
<g/>
,
und	w1387
Verwundete	w1388
in	w1389
beyden	w1390
Städten	w1391
auf	w1392
2500	w1393
<g/>
.
nehmen	w1395
<g/>
,
da	w1397
hingegen	w1398
die	w1399
Russen	w1400
kaum	w1401
in	w1402
allen	w1403
160	w1404
<g/>
.
Mann	w1406
<g/>
,
wo=von	w1408
<g/>
=
die	w1410
meisten	w1411
Albaneser	w1412
<g/>
,
so	w1414
in	w1415
rußische	w1416
Dien=ste	w1417
<g/>
=
getretten	w1419
<g/>
,
vermisset	w1421
haben	w1422
<g/>
.
</p>
<head id="hl8">
Florenz	w1424
<g/>
,
den	w1426
1	w1427
<g/>
.
Weinmonats	w1429
<g/>
.
</head>
<p id="p32">
Da	w1431
Sr	w1432
<g/>
.
kön	w1434
<g/>
.
Hoheit	w1436
Landesväterliches	w1437
Au=genmerk	w1438
<g/>
=
nicht	w1440
nur	w1441
dahin	w1442
gehet	w1443
<g/>
,
den	w1445
jetzigen	w1446
blühenden	w1447
Zustand	w1448
des	w1449
Kollegium	w1450
Cicognini	w1451
von	w1452
Prato	w1453
in	w1454
aufrechten	w1455
Stande	w1456
zu	w1457
erhalten	w1458
<g/>
,
sondern	w1460
auch	w1461
dasselbe	w1462
mit	w1463
solchen	w1464
Lehrmeiste=ren	w1465
<g/>
=
zu	w1467
besetzen	w1468
<g/>
,
wovon	w1470
die	w1471
künztige	w1472
Erziehung	w1473
der	w1474
inn	w1475
<g/>
=
und	w1477
ausländischen	w1478
Jugend	w1479
sich	w1480
allen	w1481
Nutzen	w1482
versprechen	w1483
könne	w1484
<g/>
,
so	w1486
haben	w1487
hochsidie=selbe	w1488
<g/>
=
befohlen	w1490
<g/>
,
daß	w1492
unter	w1493
der	w1494
Aufsicht	w1495
des	w1496
be=rühmten	w1497
<g/>
=
Herrn	w1499
Thomas	w1500
Comparini	w1501
<g/>
,
gewe=sten	w1503
<g/>
=
Recktors	w1505
des	w1506
bischöfl	w1507
<g/>
.
Seminarium	w1509
zu	w1510
Pistoja	w1511
dieses	w1512
Kollegium	w1513
noch	w1514
gegenwärtiges	w1515
Jahr	w1516
hindurch	w1517
auf	w1518
den	w1519
vor	w1520
Aufhebung	w1521
der	w1522
Jesuiten	w1523
gewöhnlichen	w1524
Fuß	w1525
verwaltet	w1526
werde	w1527
<g/>
,
indessen	w1529
dem	w1530
Herrn	w1531
Erzbischof	w1532
zu	w1533
Pisa	w1534
<g/>
,
dem	w1536
Herrn	w1537
Anton	w1538
Mormoraj	w1539
<g/>
,
Auditor	w1541
Sr	w1542
<g/>
.
kön	w1544
<g/>
.
Hoheit	w1546
in	w1547
Studiensachen	w1548
<g/>
,
und	w1550
dem	w1551
Monsig=nor	w1552
<g/>
=
Angelus	w1554
Fabroni	w1555
<g/>
,
Generalproveditor	w1557
des	w1558
Studium	w1559
zu	w1560
Pisa	w1561
der	w1562
gnädigste	w1563
Auftrag	w1564
be=schehen	w1565
<g/>
=
<g/>
,
einen	w1568
schicklichen	w1569
und	w1570
dauerhaften	w1571
Ver=besserungsplan	w1572
<g/>
=
zu	w1574
noch	w1575
mehrerer	w1576
Aufnahm	w1577
des	w1578
erdeuteten	w1579
Kollegium	w1580
zu	w1581
entwerfen	w1582
<g/>
.
Aehnli=che	w1584
<g/>
=
Einrichtungen	w1586
sind	w1587
bey	w1588
den	w1589
Schulen	w1590
des	w1591
Kollegium	w1592
von	w1593
S	w1594
<g/>
.
Giovannini	w1596
in	w1597
dieser	w1598
Stadt	w1599
getroffen	w1600
worden	w1601
<g/>
,
woselbst	w1603
ebenfalls	w1604
die	w1605
beste	w1606
und	w1607
geschickteste	w1608
Lehrer	w1609
unter	w1610
der	w1611
Leitung	w1612
des	w1613
rühmlich	w1614
bekannten	w1615
Herrn	w1616
Prior	w1617
Caspar	w1618
Ber=telli	w1619
<g/>
=
angestellet	w1621
worden	w1622
<g/>
.
</p>
<head id="hl9">
Triest	w1624
den	w1625
1	w1626
<g/>
.
Winterm	w1628
<g/>
.
</head>
<p id="p33">
Durch	w1630
ein	w1631
dieser	w1632
Tagen	w1633
aus	w1634
Seutari	w1635
hier	w1636
eingetroffenes	w1637
Venetianisches	w1638
Fahrzeug	w1639
<g/>
,
hat	w1641
man	w1642
die	w1643
Bestättigung	w1644
von	w1645
dem	w1646
neulich	w1647
gemeldeten	w1648
Todschlage	w1649
des	w1650
berüchtigten	w1651
klei=nen	w1652
<g/>
=
Stephans	w1654
zu	w1655
Moutenegro	w1656
<g/>
,
und	w1658
zwar	w1659
mit	w1660
näheren	w1661
Umständen	w1662
erhalten	w1663
<g/>
,
daß	w1665
nämlich	w1666
erwähnter	w1667
Sklave	w1668
ein	w1669
gebohrner	w1670
türkischer	w1671
Unterthan	w1672
<g/>
,
aus	w1674
Calamata	w1675
in	w1676
Morea	w1677
<g/>
,
boß=hafter	w1679
<g/>
=
weise	w1681
in	w1682
die	w1683
Dienste	w1684
des	w1685
erschlagenen	w1686
Stephans	w1687
sich	w1688
eingeschlichen	w1689
<g/>
,
und	w1691
endlich	w1692
wie	w1693
bekannt	w1694
<g/>
,
bey	w1696
günstiger	w1697
Gelegenheit	w1698
seinen	w1699
Herrn	w1700
mit	w1701
einem	w1702
Handbeile	w1703
getödtet	w1704
habe	w1705
<g/>
,
worauf	w1707
er	w1708
so	w1709
glücklich	w1710
gewesen	w1711
wäre	w1712
<g/>
,
nach	w1714
Scutari	w1715
zu	w1716
entkommen	w1717
<g/>
,
woselbst	w1719
er	w1720
von	w1721
dem	w1722
ganzen	w1723
Volke	w1724
mit	w1725
grossen	w1726
Jnbel=geschrey	w1727
<g/>
=
einpfangen	w1729
<g/>
,
und	w1731
von	w1732
dem	w1733
dasigen	w1734
Bassa	w1735
auf	w1736
das	w1737
reichlichste	w1738
beschenket	w1739
worden	w1740
wäre	w1741
<g/>
.
</p>
<p id="p34">
Der	w1743
Eigenthümer	w1744
eines	w1745
Zandiottischen	w1746
Schiffes	w1747
<g/>
,
das	w1749
den	w1750
27ten	w1751
dieses	w1752
aus	w1753
Cala=mata	w1754
<g/>
=
in	w1756
Morea	w1757
<g/>
,
nach	w1759
einer	w1760
Reise	w1761
von	w1762
25	w1763
Tagen	w1764
allhier	w1765
eingetroffen	w1766
<g/>
,
sagte	w1768
aus	w1769
<g/>
,
er	w1771
habe	w1772
in	w1773
dem	w1774
Gewässer	w1775
bey	w1776
der	w1777
Jnsul	w1778
Zan=te	w1779
<g/>
=
7	w1781
Russische	w1782
Kriegsschiffe	w1783
angetroffen	w1784
<g/>
,
de=ren	w1786
<g/>
=
Befehlshaber	w1788
ihn	w1789
sogleich	w1790
zum	w1791
Gehor=sam	w1792
<g/>
=
aufgefordert	w1794
<g/>
,
und	w1796
nach	w1797
beschehener	w1798
Folge=leistung	w1799
<g/>
=
<g/>
,
ihm	w1802
verschiedene	w1803
Depechen	w1804
nacher	w1805
Petersburg	w1806
<g/>
,
an	w1808
den	w1809
Herrn	w1810
