<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
und	w362
Freundschaftstractats	w363
mit	w364
der	w365
Krone	w366
Schweden	w367
überbracht	w368
<g/>
;
dem=selben	w370
<g/>
=
wollen	w372
einige	w373
noch	w374
zwey	w375
geheime	w376
Arti=ckel	w377
<g/>
=
beyfügen	w379
<g/>
,
man	w381
kann	w382
aber	w383
zuverläßig	w384
ver=sichern	w385
<g/>
=
<g/>
,
daß	w388
solche	w389
erdichtet	w390
<g/>
,
und	w392
der	w393
Jnhalt	w394
des	w395
Tractats	w396
folgender	w397
seye	w398
<g/>
:
Art	w400
<g/>
.
1	w402
<g/>
.
Beyde	w404
hohe	w405
contrahirende	w406
Mächten	w407
verbinden	w408
sich	w409
<g/>
,
für	w411
sich	w412
<g/>
,
Dero	w414
Erben	w415
<g/>
,
und	w417
Thronfolgern	w418
<g/>
,
wie	w420
auch	w421
Dero	w422
beyderseitige	w423
Unterthanen	w424
<g/>
,
daß	w426
sie	w427
<g/>
,
als	w429
gute	w430
und	w431
getreue	w432
Freunde	w433
und	w434
Bunds=genossen	w435
<g/>
=
<g/>
,
einander	w438
alle	w439
Vortheile	w440
und	w441
mögli=che	w442
<g/>
=
Achtung	w444
verschaffen	w445
<g/>
,
und	w447
alles	w448
beytragen	w449
wollen	w450
<g/>
,
was	w452
nur	w453
zur	w454
Befestigung	w455
einer	w456
auf=richtigen	w457
<g/>
=
und	w459
dauerhaften	w460
Freundschaft	w461
vor=täglich	w462
<g/>
=
seyn	w464
mag	w465
<g/>
.
2	w467
<g/>
.
Die	w469
Unterthanen	w470
bey=der	w471
<g/>
=
Mächten	w473
sollen	w474
beyderseits	w475
in	w476
denen	w477
Kö=nigreichen	w478
<g/>
=
<g/>
,
Seehäfen	w481
Rheden	w482
<g/>
,
und	w484
Flüssen	w485
alle	w486
Rechte	w487
<g/>
,
Nutzen	w489
<g/>
,
und	w491
Freyheiten	w492
genies=sen	w493
<g/>
=
<g/>
,
welche	w496
die	w497
begünstigste	w498
Nationen	w499
allda	w500
geniessen	w501
<g/>
,
oder	w503
künftighin	w504
geniessen	w505
können	w506
<g/>
:
ausgenommen	w508
den	w509
einigen	w510
Fall	w511
<g/>
,
der	w513
in	w514
dem	w515
zwischen	w516
der	w517
Krone	w518
Schweden	w519
und	w520
Frankreich	w521
den	w522
25	w523
<g/>
.
April	w525
An	w526
<g/>
.
1741	w528
<g/>
.
geschlossenen	w530
Hand=lungstractat	w531
<g/>
=
Art	w533
<g/>
.
3	w535
<g/>
.
der	w537
Präliminarien	w538
<g/>
,
be=treffend	w540
<g/>
=
den	w542
Zoll	w543
der	w544
in	w545
dem	w546
Hafen	w547
zu	w548
Wis=war	w549
<g/>
=
abgestattet	w551
werden	w552
solle	w553
<g/>
,
enthalten	w555
<g/>
.
3	w557
<g/>
.
Dieser	w559
Freundschaftstractat	w560
solle	w561
zu	w562
nieman=des	w563
<g/>
=
Trotz	w565
<g/>
,
am	w567
wenigsten	w568
aber	w569
zu	w570
Beleidigung	w571
einer	w572
mit	w573
denen	w574
hohen	w575
Mächten	w576
in	w577
Freund=schaft	w578
<g/>
=
und	w580
Bündniß	w581
stehenden	w582
Kron	w583
<g/>
,
sondern	w585
nur	w586
allein	w587
zu	w588
Befestigung	w589
und	w590
Bestärkung	w591
der	w592
Freundschaft	w593
und	w594
Vertrauens	w595
zwischen	w596
beyden	w597
</p>
<p id="p10">
Königl	w598
<g/>
.
Majestäten	w600
<g/>
,
wie	w602
auch	w603
zu	w604
Aufrecht=haltung	w605
<g/>
=
der	w607
Ruhe	w608
<g/>
,
und	w610
Wohlstandes	w611
deren	w612
Königreiche	w613
und	w614
Unterthanen	w615
dienen	w616
<g/>
.
4	w618
<g/>
.
Und	w620
damit	w621
diese	w622
Freundschaftsverbindung	w623
de=sto	w624
<g/>
=
mehr	w626
zum	w627
Nutzen	w628
<g/>
,
Besten	w630
<g/>
,
und	w632
Sicher=heit	w633
<g/>
=
beyder	w635
Kronen	w636
beytragen	w637
möge	w638
<g/>
,
so	w640
wer=den	w641
<g/>
=
Se	w643
<g/>
.
Majest	w645
<g/>
.
wenn	w647
es	w648
die	w649
Zeit	w650
und	w651
Um=stände	w652
<g/>
=
erfordern	w654
<g/>
,
unter	w656
sich	w657
ferner	w658
über	w659
das=jenige	w660
<g/>
=
übereinkommen	w662
<g/>
,
was	w664
zu	w665
Dero	w666
Staa=ten	w667
<g/>
=
Vortheil	w669
und	w670
Erforderniß	w671
verträglich	w672
zu	w673
seyn	w674
erachtet	w675
wird	w676
<g/>
.
5	w678
<g/>
.
Jndessen	w680
verpflichten	w681
sich	w682
Jhre	w683
Majest	w684
<g/>
.
der	w686
König	w687
von	w688
Schweden	w689
und	w690
der	w691
König	w692
von	w693
Großbrittanien	w694
<g/>
,
als	w696
ge=treue	w697
<g/>
=
Freunde	w699
und	w700
Bundsgenossen	w701
<g/>
,
einander	w703
alle	w704
gute	w705
Dienste	w706
zu	w707
leisten	w708
<g/>
,
welche	w710
die	w711
Um=stände	w712
<g/>
=
zur	w714
Sicherheit	w715
Dero	w716
Königreichen	w717
und	w718
Staaten	w719
in	w720
Europa	w721
erfordern	w722
werden	w723
<g/>
.
6	w725
<g/>
.
Dieser	w727
Tractat	w728
solle	w729
von	w730
beyden	w731
Mächten	w732
inner	w733
zwey	w734
Monaten	w735
<g/>
,
oder	w737
noch	w738
eher	w739
<g/>
,
wann	w741
es	w742
seyn	w743
kann	w744
<g/>
,
bestättiget	w746
<g/>
,
und	w748
ratifieiret	w749
wer=den	w750
<g/>
=
<g/>
;
Zu	w753
dessen	w754
Gezeugniß	w755
unsere	w756
Bevoll=mächtigte	w757
<g/>
=
diese	w759
Artickel	w760
unterschrieben	w761
<g/>
,
und	w763
mit	w764
dero	w765
Pettschaft	w766
bekräftiget	w767
haben	w768
<g/>
.
Ge=schehen	w770
<g/>
=
zu	w772
Stockholm	w773
<g/>
.
</p>
<p id="p11">
Von	w775
Constantinopel	w776
wird	w777
geschrieben	w778
<g/>
,
daß	w780
daselbst	w781
der	w782
Leibarzt	w783
des	w784
Großsultans	w785
<g/>
,
Herr	w787
Caro	w788
<g/>
,
ein	w790
geborner	w791
Neapolitaner	w792
<g/>
,
von	w794
sei=nen	w795
<g/>
=
Reisen	w797
<g/>
,
die	w799
er	w800
nach	w801
verschiedenen	w802
Höfen	w803
Europens	w804
gemacht	w805
hat	w806
<g/>
,
wieder	w808
zurück	w809
gekom=men	w810
<g/>
=
<g/>
.
Aus	w813
Algier	w814
vernimmt	w815
man	w816
<g/>
,
daß	w818
der	w819
neue	w820
Dey	w821
zwar	w822
den	w823
Frieden	w824
mit	w825
Holland	w826
er=neuert	w827
<g/>
=
<g/>
,
alleine	w830
den	w831
Schweden	w832
<g/>
,
Dänen	w834
<g/>
,
und	w836
Venetianer	w837
würklich	w838
den	w839
Krieg	w840
angekündiget	w841
haben	w842
solle	w843
<g/>
.
</p>
<head id="hl3">
Paris	w845
den	w846
24	w847
<g/>
.
März	w849
<g/>
.
</head>
<p id="p12">
Man	w851
siehet	w852
hier	w853
ein	w854
Schreiben	w855
aus	w856
Avig=non	w857
<g/>
=
<g/>
,
nach	w860
dessen	w861
Jnhalt	w862
in	w863
dem	w864
Läindchen	w865
Gevaudan	w866
<g/>
,
welches	w868
unter	w869
dem	w870
20	w871
<g/>
.
Septemb	w873
<g/>
.
verwichenen	w875
Jahres	w876
von	w877
dem	w878
reissenden	w879
Thie=re	w880
<g/>
=
befreyet	w882
worden	w883
<g/>
,
ein	w885
dergleichen	w886
neues	w887
Scheusal	w888
zum	w889
Vorschein	w890
gekommen	w891
ist	w892
<g/>
,
wel=ches	w894
<g/>
=
gleich	w896
diesem	w897
tobend	w898
und	w899
wütende	w900
herum=streifet	w901
<g/>
=
<g/>
,
und	w904
bereits	w905
einige	w906
Menschen	w907
entleibet	w908
<g/>
,
andere	w910
aber	w911
stark	w912
verwundet	w913
hat	w914
<g/>
.
Es	w916
werden	w917
folglich	w918
diejenige	w919
Jäger	w920
<g/>
,
die	w922
das	w923
vorige	w924
er=legt	w925
<g/>
=
haben	w927
<g/>
,
wieder	w929
aufgeboten	w930
werden	w931
müssen	w932
<g/>
.
</p>
<head id="hl4">
Brüssel	w934
den	w935
24	w936
<g/>
.
März	w938
<g/>
.
</head>
<p id="p13">
Den	w940
13	w941
<g/>
.
dieses	w943
wurde	w944
das	w945
höchste	w946
Ge=burtsfest	w947
<g/>
=
Sr	w949
<g/>
.
jetzt	w951
glorwürdigst	w952
regierenden	w953
</p>
<p id="p14">
Kaiserl	w956
<g/>
.
Majestät	w958
Joseph	w959
des	w960
zweyten	w961
<g/>
,
da	w963
Höchstdieselben	w964
das	w965
26	w966
<g/>
.
Jahrsalter	w968
glücklich	w969
erreichet	w970
<g/>
,
auch	w972
allhier	w973
<g/>
,
wegen	w975
noch	w976
fürwal=tender	w977
<g/>
=
Trauer	w979
aber	w980
nur	w981
in	w982
schwarzen	w983
Klei=dern	w984
<g/>
=
und	w986
Equipagen	w987
gefeyret	w988
<g/>
.
Se	w990
<g/>
.
Königl	w992
<g/>
.
Hoheit	w994
<g/>
,
unser	w996
Generalgouverneur	w997
begaben	w998
sich	w999
um	w1000
11	w1001
<g/>
.
Uhr	w1003
in	w1004
die	w1005
hiesige	w1006
Collegialkir=che	w1007
<g/>
=
von	w1009
St	w1010
<g/>
.
Michael	w1012
<g/>
,
und	w1014
Gudula	w1015
<g/>
,
und	w1017
wohnten	w1018
daselbst	w1019
der	w1020
von	w1021
dem	w1022
Bischoffen	w1023
von	w1024
Brügge	w1025
abgesungenen	w1026
grossen	w1027
Meße	w1028
<g/>
,
welche	w1030
mit	w1031
einem	w1032
feyerlichen	w1033
Te	w1034
Deum	w1035
beschlossen	w1036
wurde	w1037
<g/>
,
bey	w1039
<g/>
.
Alle	w1041
hiesige	w1042
Rahtscollegia	w1043
<g/>
,
und	w1045
der	w1046
gesamte	w1047
Magistrat	w1048
sind	w1049
hiebey	w1050
er=schienen	w1051
<g/>
=
<g/>
.
Nach	w1054
geendigten	w1055
Gottesdienst	w1056
kehr=ten	w1057
<g/>
=
Se	w1059
<g/>
.
Königl	w1061
<g/>
.
Hoheit	w1063
wieder	w1064
in	w1065
dero	w1066
Pal=last	w1067
<g/>
=
zurücke	w1069
<g/>
,
empfiengen	w1071
die	w1072
gewöhnlichen	w1073
Glückwünschungscomplimente	w1074
<g/>
,
und	w1076
Mittags	w1077
speiseten	w1078
dieselbe	w1079
öffentlich	w1080
<g/>
.
Der	w1082
gevollmäch=tigte	w1083
<g/>
=
Minister	w1085
Hr	w1086
<g/>
.
Graf	w1088
von	w1089
Cobenzel	w1090
gab	w1091
dem	w1092
hohen	w1093
Adel	w1094
<g/>
,
und	w1096
denen	w1097
Regierungs=ministern	w1098
<g/>
=
grosse	w1100
Tafel	w1101
<g/>
.
Wegen	w1103
noch	w1104
fort=währender	w1105
<g/>
=
Trauer	w1107
wurden	w1108
keine	w1109
öffentlichen	w1110
Lustbarkeiten	w1111
angestellet	w1112
<g/>
,
die	w1114
Cavaliers	w1115
hat=ten	w1116
<g/>
=
bunte	w1118
Degen	w1119
und	w1120
Schnallen	w1121
<g/>
,
die	w1123
Da=men	w1124
<g/>
=
aber	w1126
waren	w1127
geschmückt	w1128
<g/>
.
Den	w1130
19	w1131
<g/>
.
wur=de	w1133
<g/>
=
das	w1135
allerhöchste	w1136
Nahmensfest	w1137
beyder	w1138
Kai=serl	w1139
<g/>
=
<g/>
.
Majestäten	w1142
auf	w1143
gleiche	w1144
Weise	w1145
gefeyret	w1146
<g/>
.
</p>
<p id="p15">
Warschau	w1148
den	w1149
14	w1150
<g/>
.
März	w1152
<g/>
.
</p>
<p id="p16">
Jn	w1154
unserer	w1155
Stadt	w1156
wird	w1157
es	w1158
alle	w1159
Tage	w1160
leb=hafter	w1161
<g/>
=
<g/>
.
Viele	w1164
Grosse	w1165
des	w1166
Reichs	w1167
schlagen	w1168
ihre	w1169
ordentliche	w1170
Wohnplätze	w1171
allhier	w1172
auf	w1173
<g/>
,
und	w1175
ganze	w1176
Familien	w1177
vom	w1178
Lande	w1179
kommen	w1180
<g/>
,
sich	w1182
bey	w1183
uns	w1184
niederzulassen	w1185
<g/>
;
auch	w1187
Ausländer	w1188
halten	w1189
es	w1190
der	w1191
Mühe	w1192
werth	w1193
<g/>
,
uns	w1195
zu	w1196
besuchen	w1197
<g/>
,
so	w1199
daß	w1200
wir	w1201
deren	w1202
schon	w1203
eine	w1204
grosse	w1205
Menge	w1206
zehlen	w1207
können	w1208
<g/>
.
Bald	w1210
wird	w1211
unsere	w1212
Stadt	w1213
sich	w1214
nicht	w1215
mehr	w1216
ähnlich	w1217
sehen	w1218
<g/>
.
Es	w1220
sollen	w1221
verschiedene	w1222
Häuser	w1223
und	w1224
auch	w1225
einige	w1226
Palläste	w1227
aufgefüh=ret	w1228
<g/>
=
werden	w1230
<g/>
,
und	w1232
man	w1233
erwartet	w1234
nur	w1235
das	w1236
schöne	w1237
Wetter	w1238
<g/>
,
um	w1240
den	w1241
Bau	w1242
würklich	w1243
anzufangen	w1244
<g/>
.
Der	w1246
Königl	w1247
Pallast	w1248
wird	w1249
ebenfals	w1250
erwei=tert	w1251
<g/>
=
und	w1253
viel	w1254
ansehnlicher	w1255
gemacht	w1256
werden	w1257
<g/>
.
</p>
<p id="p17">
An	w1259
dem	w1260
Tage	w1261
da	w1262
der	w1263
Zweykampf	w1264
zwischen	w1265
dem	w1266
Grafen	w1267
Branicky	w1268
und	w1269
dem	w1270
italiänischen	w1271
Cavalier	w1272
Casanova	w1273
vorgefallen	w1274
<g/>
,
hat	w1276
der	w1277
bis=herige	w1278
<g/>
=
Oberste	w1280
der	w1281
leichten	w1282
Truppen	w1283
und	w1284
Königl	w1285
<g/>
.
Oberstallmeister	w1287
Biszewsky	w1288
<g/>
,
nach=dem	w1290
<g/>
=
er	w1292
erfahren	w1293
<g/>
,
daß	w1295
gedachter	w1296
Graf	w1297
Brani=cky	w1298
<g/>
=
durch	w1300
einen	w1301
Jtaliäner	w1302
verwundet	w1303
wor worden	w1304
<g/>
=
</p>
<p id="p18">
den	w1306
<g/>
,
aus	w1308
unüberlegtem	w1309
Eifer	w1310
<g/>
,
ohne	w1312
sich	w1313
ge=nugsam	w1314
<g/>
=
zu	w1316
erkundigen	w1317
<g/>
,
durch	w1319
wen	w1320
dieses	w1321
ge=schehen	w1322
<g/>
=
sey	w1324
<g/>
,
um	w1326
6	w1327
<g/>
.
Uhr	w1329
des	w1330
Abends	w1331
den	w1332
Grafen	w1333
de	w1334
Tomatis	w1335
in	w1336
seiner	w1337
Wohnung	w1338
über	w1339
fallen	w1340
<g/>
,
und	w1342
nach	w1343
demselben	w1344
geschossen	w1345
<g/>
,
aber	w1347
zum	w1348
Glück	w1349
gefehlet	w1350
<g/>
,
und	w1352
zugleich	w1353
den	w1354
Grafen	w1355
Mosynski	w1356
<g/>
,
welcher	w1358
sich	w1359
dazwischen	w1360
legen	w1361
wol=len	w1362
<g/>
=
<g/>
,
mit	w1365
dem	w1366
Säbel	w1367
gefährlich	w1368
im	w1369
Gesichte	w1370
verwundet	w1371
<g/>
,
worauf	w1373
er	w1374
sich	w1375
sofort	w1376
zu	w1377
Pferd	w1378
mit	w1379
der	w1380
Flucht	w1381
gerettet	w1382
Se	w1383
<g/>
.
Majest	w1385
<g/>
.
haben	w1387
an	w1388
dessen	w1389
Stelle	w1390
sogleich	w1391
den	w1392
Herrn	w1393
Kurinski	w1394
zu	w1395
Dero	w1396
Stallmeister	w1397
ernennet	w1398
<g/>
,
auch	w1400
zugleich	w1401
dem	w1402
Kron	w1403
<g/>
=
Marschallamte	w1405
empfohlen	w1406
<g/>
,
gedach=ten	w1408
<g/>
=
Biszewsky	w1410
sorgfältigst	w1411
aufsuchen	w1412
zu	w1413
las=sen	w1414
<g/>
=
<g/>
,
und	w1417
mit	w1418
demselben	w1419
den	w1420
Rechten	w1421
gemäß	w1422
zu	w1423
verfahren	w1424
<g/>
.
Der	w1426
König	w1427
selbst	w1428
besu=chet	w1429
<g/>
=
den	w1431
Grafen	w1432
Branicky	w1433
<g/>
,
welcher	w1435
im	w1436
Palais	w1437
des	w1438
Kron	w1439
<g/>
=
Kammerherrn	w1441
<g/>
,
des	w1443
Fürsten	w1444
Poniatowsky	w1445
<g/>
,
bisher	w1447
noch	w1448
nicht	w1449
ausser	w1450
Ge=fahr	w1451
<g/>
=
ist	w1453
<g/>
,
öfters	w1455
in	w1456
höchster	w1457
Person	w1458
<g/>
.
Das	w1460
Schloß	w1461
Ujasdow	w1462
wird	w1463
fleißig	w1464
repariret	w1465
<g/>
,
und	w1467
dabey	w1468
viele	w1469
neue	w1470
Werke	w1471
angelegt	w1472
<g/>
.
Da	w1474
Se	w1475
<g/>
.
Maj	w1477
<g/>
.
nach	w1479
Ostern	w1480
daselbst	w1481
zu	w1482
residiren	w1483
ge=sonnen	w1484
<g/>
=
sind	w1486
<g/>
;
so	w1488
arbeiten	w1489
täglich	w1490
über	w1491
200	w1492
<g/>
.
Leute	w1494
daran	w1495
<g/>
,
um	w1497
solches	w1498
gegen	w1499
diese	w1500
Zeit	w1501
in	w1502
gehörigen	w1503
Stand	w1504
zu	w1505
setzen	w1506
<g/>
.
</p>
<head id="hl5">
Regenspurg	w1508
der	w1509
24	w1510
<g/>
.
März	w1512
<g/>
.
</head>
<p id="p19">
Am	w1514
20sten	w1515
dieses	w1516
ist	w1517
ein	w1518
Schreiben	w1519
des	w1520
Herrn	w1521
Herzogs	w1522
zu	w1523
Braunschweigwolfenbüttel	w1524
Hochfürstl	w1525
<g/>
.
Durchlaucht	w1527
durch	w1528
eine	w1529
Dictatur	w1530
publiciret	w1531
worden	w1532
<g/>
,
worinn	w1534
Höchstdieselbe	w1535
<g/>
,
in	w1537
obhabender	w1538
fürstl	w1539
<g/>
.
Oraniennassauischen	w1541
Vor=mundschaft	w1542
<g/>
=
<g/>
,
der	w1545
Reichsversammlung	w1546
eine	w1547
rechtliche	w1548
Ausführung	w1549
ꝛc	w1550
<g/>
.
vorlegen	w1552
<g/>
.
</p>
<p id="p20">
Die	w1554
Rechtssache	w1555
betrift	w1556
die	w1557
durch	w1558
Abster=ben	w1559
<g/>
=
des	w1561
churmaynzischen	w1562
Staathalters	w1563
zu	w1564
Erfurt	w1565
Hrn	w1566
<g/>
.
von	w1568
Bicken	w1569
<g/>
,
als	w1571
dem	w1572
letzten	w1573
seines	w1574
Geschlechts	w1575
<g/>
,
verschiedentlich	w1577
besessenen	w1578
<g/>
,
theils	w1580
im	w1581
fürstl	w1582
<g/>
.
Darmstädtischen	w1584
<g/>
,
theils	w1586
im	w1587
fürstl	w1588
<g/>
.
Nassaudillenburgischen	w1590
gelegen	w1591
<g/>
,
und	w1593
dem	w1594
gräfl	w1595
<g/>
.
Sayn	w1597
<g/>
=
wittgensteinischen	w1599
Hause	w1600
1732	w1601
<g/>
.
heimgefallenen	w1603
Manns	w1604
Lehnstücke	w1605
<g/>
,
da	w1607
dann	w1608
bey	w1609
der	w1610
von	w1611
dem	w1612
Hrn	w1613
<g/>
.
Grafen	w1615
von	w1616
Sayn	w1617
in	w1618
besag=tem	w1619
<g/>
=
Jahre	w1621
nehmen	w1622
wollenden	w1623
Posseßion	w1624
ein	w1625
und	w1626
andere	w1627
Jrrungen	w1628
entstanden	w1629
<g/>
,
weshalb	w1631
es	w1632
beym	w1633
Reichscammergerichte	w1634
zur	w1635
Klage	w1636
und	w1637
Proceß	w1638
gekommen	w1639
<g/>
.
Die	w1641
Sache	w1642
blieb	w1643
bis	w1644
im	w1645
Jahre	w1646
1756	w1647
<g/>
.
liegen	w1649
<g/>
,
in	w1651
welchem	w1652
sie	w1653
wieder	w1654
rege	w1655
gemacht	w1656
jedoch	w1657
erst	w1658
1762	w1659
<g/>
.
ein	w1661
Rescriptum	w1662
</p>
<p id="p21">
citationis	w1665
ad	w1666
reassumendum	w1667
gegen	w1668
sämmtliche	w1669
hohe	w1670
Beklagte	w1671
aufgebracht	w1672
wurde	w1673
<g/>
.
Jn	w1675
be=sagtem	w1676
<g/>
=
Jahre	w1678
1762	w1679
<g/>
.
gab	w1681
bemeldter	w1682
Hr	w1683
<g/>
.
Graf	w1685
an	w1686
des	w1687
Hrn	w1688
<g/>
.
Herzogs	w1690
zu	w1691
Braunschweig	w1692
Durchl	w1693
<g/>
.
mittels	w1695
eines	w1696
Schreibens	w1697
zu	w1698
erkennen	w1699
<g/>
,
wie	w1701
bey	w1702
dem	w1703
Cammergerichtl	w1704
<g/>
.
Processe	w1706
voraus	w1707
zu	w1708
se=hen	w1709
<g/>
=
wäre	w1711
<g/>
,
daß	w1713
durch	w1714
einen	w1715
erfolgenden	w1716
Be=scheid	w1717
<g/>
=
in	w1719
der	w1720
Hauptsache	w1721
kein	w1722
Ganzes	w1723
gemacht	w1724
werden	w1725
würde	w1726
<g/>
,
sondern	w1728
die	w1729
versteckt	w1730
gebliebe=nen	w1731
<g/>
=
Lehnstücke	w1733
erst	w1734
noch	w1735
eruiret	w1736
werden	w1737
müßten	w1738
<g/>
.
Da	w1740
nun	w1741
solches	w1742
am	w1743
füglichsten	w1744
geschehen	w1745
wür=de	w1746
<g/>
=
<g/>
,
wann	w1749
höchstgedachter	w1750
Hr	w1751
<g/>
.
Herzog	w1753
ein	w1754
oder	w1755
zween	w1756
Commissarien	w1757
aus	w1758
der	w1759
Dillenburgischen	w1760
Regierung	w1761
zu	w1762
ernennen	w1763
geruheten	w1764
<g/>
,
welche	w1766
mit	w1767
dem	w1768
gräfl	w1769
<g/>
.
Saynischen	w1771
Gevollmächtigten	w1772
zusammen	w1773
treten	w1774
<g/>
,
und	w1776
zur	w1777
Ausfindung	w1778
sotha=ner	w1779
<g/>
=
Lehnstücke	w1781
die	w1782
Hand	w1783
böthen	w1784
<g/>
,
so	w1786
würde	w1787
da=durch	w1788
<g/>
=
der	w1790
zeitherigen	w1791
Klage	w1792
das	w1793
abhelfliche	w1794
Maaß	w1795
in	w1796
der	w1797
Kürze	w1798
gegeben	w1799
werden	w1800
können	w1801
<g/>
.
Jn	w1803
der	w1804
darauf	w1805
unterm	w1806
18	w1807
<g/>
.
März	w1809
1763	w1810
<g/>
.
er=folgten	w1812
<g/>
=
herzogl	w1814
<g/>
.
Antwort	w1816
habe	w1817
Hochderselbe	w1818
auch	w1819
<g/>
,
wann	w1821
Er	w1822
<g/>
,
Hr	w1824
<g/>
.
Graf	w1826
den	w1827
beym	w1828
Cammer=gerichte	w1829
<g/>
=
anhängig	w1831
gemachten	w1832
Proceß	w1833
gegen	w1834
die	w1835
Nassaudillenburgischen	w1836
ihm	w1837
angeblich	w1838
zehnt=pflichtigen	w1839
<g/>
=
Unterthanen	w1841
<g/>
,
da	w1843
in	w1844
einer	w1845
Sache	w1846
unmöglich	w1847
in	w1848
2	w1849
<g/>
.
Gerichten	w1851
