<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
wollen	w267
„	w268
bemühet	w269
seyn	w270
<g/>
/
Jhre	w272
Majestät	w273
die	w274
Czarin	w275
„	w276
dahin	w277
zu	w278
bewegen	w279
<g/>
/
daß	w281
sie	w282
Befehl	w283
gebe	w284
<g/>
/
„	w286
damit	w287
die	w288
freye	w289
Handelschaft	w290
<g/>
/
welche	w292
der	w293
„	w294
Groß	w295
<g/>
=
Britannischen	w297
Nation	w298
von	w299
dem	w300
ver	w301
<g/>
=
„	w303
storbenen	w304
Czar	w305
unter	w306
gewisser	w307
Bedingung	w308
„	w309
in	w310
allen	w311
Russischen	w312
Häfen	w313
für	w314
allerhand	w315
„	w316
Kauffahrdey	w317
<g/>
=
Schiffe	w319
in	w320
der	w321
Ost	w322
See	w323
ver	w324
<g/>
=
„	w326
stattet	w327
worden	w328
<g/>
/
auf	w330
dem	w331
Fuß	w332
bleiben	w333
<g/>
/
wie	w335
„	w336
es	w337
zu	w338
denen	w339
Zeiten	w340
ihres	w341
Gemahls	w342
gewe	w343
<g/>
=
„	w345
sen	w346
<g/>
.
Der	w348
König	w349
<g/>
/
mein	w351
Herr	w352
<g/>
/
wird	w354
auch	w355
„	w356
seiner	w357
Seits	w358
alle	w359
nöhtige	w360
Befehl	w361
ertheilen	w362
<g/>
/
„	w364
denen	w365
Russischen	w366
Handels	w367
<g/>
=
Leuten	w369
in	w370
de de"	w371
<g/>
=
</p>
<p id="p5">
„	w373
nen	w374
Häfen	w375
von	w376
Groß	w377
<g/>
=
Britannien	w379
hinwie	w380
<g/>
=
„	w382
derum	w383
allen	w384
möglichsten	w385
Vorschub	w386
zu	w387
ver	w388
<g/>
=
„	w390
schaffen	w391
<g/>
.
Worauf	w393
ich	w394
eine	w395
cathegorische	w396
„	w397
Antwort	w398
erwarte	w399
<g/>
/
c	w401
<g/>
.
</p>
<head id="hl2">
Antwort	w403
des	w404
Fürsten	w405
von	w406
Menzikof	w407
<g/>
,
auf	w409
das	w410
Schreiben	w411
des	w412
Admiral	w413
Wagers	w414
<g/>
.
</head>
<p id="p6">
„	w416
JCh	w417
habe	w418
das	w419
Schreiben	w420
erhalten	w421
<g/>
/
wel	w423
<g/>
=
„	w425
ches	w426
mir	w427
durch	w428
einen	w429
Botten	w430
<g/>
/
in	w432
dem	w433
„	w434
Nahmen	w435
Euer	w436
Excell	w437
<g/>
.
überbracht	w439
worden	w440
<g/>
;
„	w442
es	w443
ist	w444
auch	w445
der	w446
Jnhalt	w447
desselben	w448
Jhrer	w449
Cza	w450
<g/>
=
„	w452
rischen	w453
Majestät	w454
<g/>
/
meiner	w456
höchst	w457
<g/>
=
gebieten	w459
<g/>
=
„	w461
den	w462
Frauen	w463
<g/>
/
vorgeleget	w465
worden	w466
<g/>
.
Nach	w468
„	w469
der	w470
vielfältigen	w471
Versicherung	w472
<g/>
/
und	w474
nach	w475
„	w476
dem	w477
Schluß	w478
<g/>
/
welchen	w480
Jhre	w481
Majestät	w482
gefas	w483
<g/>
=
„	w485
set	w486
<g/>
/
in	w488
guter	w489
und	w490
beständigen	w491
Freundschaft	w492
„	w493
mit	w494
allen	w495
Potenzien	w496
von	w497
Europa	w498
zu	w499
leben	w500
<g/>
/
„	w502
muß	w503
man	w504
sich	w505
wol	w506
wundern	w507
<g/>
/
zu	w509
sehen	w510
<g/>
/
„	w512
daß	w513
der	w514
König	w515
von	w516
Engelland	w517
eine	w518
gantz	w519
„	w520
andere	w521
Meinung	w522
davon	w523
hege	w524
<g/>
.
Derohal	w526
<g/>
=
„	w528
ben	w529
haben	w530
mir	w531
Jhre	w532
Majestät	w533
ausdrüklich	w534
„	w535
anbefohlen	w536
<g/>
/
Euer	w538
Excell	w539
<g/>
.
von	w541
neuem	w542
die	w543
„	w544
Erklärung	w545
zu	w546
thun	w547
<g/>
/
daß	w549
selbte	w550
immer	w551
be	w552
<g/>
=
„	w554
dacht	w555
gewesen	w556
<g/>
/
denen	w558
von	w559
ihrem	w560
verstor	w561
<g/>
=
„	w563
benen	w564
Gemahl	w565
genommenen	w566
Absichten	w567
zu	w568
„	w569
folgen	w570
<g/>
/
und	w572
alle	w573
Sorgfalt	w574
zur	w575
Beförde	w576
<g/>
=
„	w578
rung	w579
des	w580
gemeinen	w581
Besten	w582
so	w583
wol	w584
in	w585
Nor	w586
<g/>
=
„	w588
den	w589
<g/>
/
als	w591
in	w592
gantz	w593
Europa	w594
anzuwenden	w595
<g/>
;
„	w597
und	w598
nicht	w599
weniger	w600
was	w601
die	w602
Handelschaft	w603
„	w604
in	w605
ihren	w606
Häfen	w607
und	w608
in	w609
ihren	w610
Staaten	w611
be	w612
<g/>
=
„	w614
trift	w615
<g/>
;
und	w617
zu	w618
dem	w619
Ende	w620
nicht	w621
nur	w622
allen	w623
„	w624
Personen	w625
und	w626
Schiffen	w627
zu	w628
begünstigen	w629
<g/>
/
„	w631
sondern	w632
auch	w633
zu	w634
verhindern	w635
<g/>
/
daß	w637
nichts	w638
„	w639
geschehe	w640
<g/>
/
was	w642
einer	w643
souverainen	w644
Potenz	w645
„	w646
möge	w647
zuwider	w648
oder	w649
unangenehm	w650
seyn	w651
<g/>
.
Jch	w653
„	w654
versichere	w655
Eure	w656
Excell	w657
<g/>
.
<g/>
/
daß	w660
Jhre	w661
Maje	w662
<g/>
=
„	w664
stät	w665
auf	w666
solchen	w667
Fuß	w668
nichts	w669
unterlassen	w670
„	w671
werden	w672
<g/>
/
was	w674
jedermann	w675
die	w676
Aufrichtig Aufrichtig"	w677
<g/>
=
</p>
<p id="p7">
„	w682
keit	w683
derselben	w684
zu	w685
erkennen	w686
geben	w687
könne	w688
<g/>
.
„	w690
Und	w691
weilen	w692
es	w693
scheinet	w694
<g/>
/
daß	w696
Eure	w697
Excell	w698
<g/>
.
„	w700
mit	w701
einer	w702
Particulier	w703
<g/>
-
Commission	w705
ver	w706
<g/>
=
„	w708
sehen	w709
seye	w710
<g/>
/
so	w712
wird	w713
die	w714
Ablegung	w715
dersel	w716
<g/>
=
„	w718
ben	w719
durch	w720
gegenwärtigen	w721
Expressen	w722
<g/>
/
oder	w724
„	w725
durch	w726
jemand	w727
andern	w728
erwartet	w729
<g/>
/
ꝛc	w731
<g/>
.
</p>
<head id="hl3">
Lisbona	w733
28	w734
<g/>
.
Julii	w736
</head>
<p id="p8">
Ehegestern	w737
ware	w738
wegen	w739
Jhrer	w740
Maje	w741
stät	w742
der	w743
Königin	w744
Namens	w745
<g/>
=
Tage	w747
eine	w748
Serenata	w749
bey	w750
Hofe	w751
<g/>
.
Und	w753
4	w754
<g/>
.
Portugesi-sche	w756
<g/>
-
Edelleute	w758
<g/>
/
die	w760
von	w761
dem	w762
König	w763
ver=bannet	w764
<g/>
=
waren	w766
<g/>
/
seynd	w768
zuruk	w769
beruffen	w770
worden	w771
<g/>
.
</p>
<p id="p9">
Gestern	w773
ist	w774
der	w775
Holländische	w776
Schout=bey	w777
<g/>
=
<g/>
=
Nacht	w780
von	w781
Coperen	w782
mit	w783
seinen	w784
3	w785
<g/>
.
Schiffen	w787
<g/>
/
welche	w789
alhier	w790
ausgebessert	w791
wor=den	w792
<g/>
=
<g/>
/
von	w795
hier	w796
wiederum	w797
nach	w798
der	w799
Straß=se	w800
<g/>
=
von	w802
Gibraltar	w803
abgesegelt	w804
<g/>
.
</p>
<p id="p10">
Den	w806
25	w807
<g/>
.
dieses	w809
langete	w810
von	w811
Amster=dam	w812
<g/>
=
ein	w814
Kriegs	w815
<g/>
=
Schif	w817
von	w818
50	w819
<g/>
.
Stüken	w821
Geschütz	w822
an	w823
<g/>
/
welchem	w825
noch	w826
drey	w827
andere	w828
folgeten	w829
<g/>
/
um	w831
das	w832
Holländische	w833
Ge=schwader	w834
<g/>
=
zu	w836
verstärken	w837
<g/>
.
Man	w839
versichert	w840
<g/>
/
daß	w842
dieses	w843
Geschwader	w844
<g/>
/
welches	w846
nun=mehro	w847
<g/>
=
im	w849
11	w850
<g/>
.
grossen	w852
Schiffe	w853
bestehen	w854
wird	w855
<g/>
/
nach	w857
Algier	w858
gehen	w859
<g/>
/
und	w861
daselbst	w862
über	w863
den	w864
Frieden	w865
tractiren	w866
solle	w867
<g/>
.
</p>
<head id="hl4">
Stokholm	w869
14	w870
<g/>
.
Augusti	w872
<g/>
.
</head>
<p id="p11">
Der	w874
hiesige	w875
Königl	w876
<g/>
.
Groß	w878
<g/>
=
Britannische	w880
Minister	w881
Herr	w882
Poinz	w883
<g/>
,
hat	w885
dieser	w886
Tagen	w887
ein	w888
prächtiges	w889
Festin	w890
gegeben	w891
<g/>
/
worzu	w893
alle	w894
anwe=sende	w895
<g/>
=
Engelländer	w897
mit	w898
eingeladen	w899
<g/>
/
und	w901
sehr	w902
herrlich	w903
begastet	w904
worden	w905
<g/>
:
die	w907
Königl	w908
<g/>
.
Herr=schaft	w910
<g/>
=
hält	w912
sich	w913
annoch	w914
zu	w915
Carlsberg	w916
auf	w917
<g/>
/
woselbst	w919
die	w920
Anstalten	w921
gemachet	w922
werden	w923
<g/>
/
des	w925
Herrn	w926
Land	w927
<g/>
=
Graf	w929
von	w930
Hessen	w931
<g/>
=
Cassel	w933
Ge=burts	w934
<g/>
=
<g/>
=
Tag	w937
auf	w938
das	w939
prächtigste	w940
zu	w941
begehen	w942
<g/>
.
</p>
<p id="p12">
Am	w944
verwichenen	w945
Sonntag	w946
<g/>
/
hat	w948
ein	w949
Schifs	w950
<g/>
=
Vistierer	w952
seinem	w953
leiblichen	w954
Sohn	w955
von	w956
11	w957
<g/>
.
Jah=ren	w959
<g/>
=
boshaftig	w961
<g/>
=
und	w963
fürsätzlicher	w964
Weise	w965
<g/>
/
sei=nem	w967
<g/>
=
Weib	w969
zum	w970
Trutz	w971
<g/>
/
dem	w973
Hals	w974
abgeschnit=ten	w975
<g/>
=
<g/>
;
und	w978
wie	w979
wol	w980
er	w981
sich	w982
mit	w983
der	w984
Flucht	w985
zu	w986
retten	w987
gesuchet	w988
<g/>
/
so	w990
hat	w991
man	w992
ihn	w993
doch	w994
wie=der	w995
<g/>
=
erdappet	w997
<g/>
/
und	w999
in	w1000
das	w1001
Gefängnuß	w1002
ge=worfen	w1003
<g/>
=
<g/>
.
</p>
<head id="hl5">
Königlich	w1006
<g/>
=
Dännische	w1008
Verordnung	w1009
<g/>
.
</head>
<p id="p13">
WJr	w1011
Friderich	w1012
der	w1013
Vierte	w1014
von	w1015
GOttes	w1016
Gnaden	w1017
<g/>
/
ꝛc	w1019
<g/>
.
ꝛc	w1021
<g/>
.
thun	w1023
kund	w1024
hiemit	w1025
<g/>
.
</p>
<p id="p14">
Nachdeme	w1027
zu	w1028
allen	w1029
Zeiten	w1030
unser	w1031
vornehmste	w1032
allergnädigste	w1033
Absicht	w1034
dahin	w1035
gerichtet	w1036
ist	w1037
<g/>
/
wie	w1039
von	w1040
unseren	w1041
lieben	w1042
<g/>
/
und	w1044
getreuen	w1045
Un=terthanen	w1046
<g/>
=
die	w1048
Bürden	w1049
gleich	w1050
getragen	w1051
wer=den	w1052
<g/>
=
<g/>
/
und	w1055
hinwiederum	w1056
so	w1057
wol	w1058
Arme	w1059
und	w1060
gering	w1061
<g/>
=
Bemittelte	w1063
<g/>
/
als	w1065
Reiche	w1066
und	w1067
viel	w1068
<g/>
=
Vermögende	w1070
<g/>
/
ein	w1072
jeder	w1073
nach	w1074
seinem	w1075
Zustand	w1076
<g/>
/
die	w1078
Früchte	w1079
von	w1080
unserer	w1081
zum	w1082
Aufkommen	w1083
<g/>
/
und	w1085
Wohlseyn	w1086
gerichtete	w1087
Vorsorge	w1088
genies=sen	w1089
<g/>
=
mögen	w1091
<g/>
;
und	w1093
haben	w1094
wir	w1095
auch	w1096
dahero	w1097
den	w1098
Verlust	w1099
und	w1100
Abgang	w1101
in	w1102
allergnädigster	w1103
Erwegung	w1104
gezogen	w1105
<g/>
/
welcher	w1107
einem	w1108
Theil	w1109
unserer	w1110
Unterthanen	w1111
bey	w1112
verschiedenen	w1113
Kauf	w1114
<g/>
=
und	w1116
Handels	w1117
<g/>
=
Leuten	w1119
<g/>
/
wegen	w1121
geliefferten	w1122
ausländischen	w1123
Waaren	w1124
<g/>
/
wurde	w1126
zugefüget	w1127
werden	w1128
<g/>
/
im	w1130
Fall	w1131
anjetzo	w1132
<g/>
(
da	w1134
wir	w1135
mittelst	w1136
unserer	w1137
allergnädigsten	w1138
Verordnungen	w1139
<g/>
/
unsere	w1141
Müntze	w1142
zu	w1143
verringern	w1144
<g/>
/
allergnädigst	w1146
für	w1147
gut	w1148
befunden	w1149
<g/>
)
die	w1151
vor	w1152
der	w1153
Publication	w1154
bemelde=ter	w1155
<g/>
=
Verordnungen	w1157
erhandelte	w1158
<g/>
/
und	w1160
bedun=gene	w1161
<g/>
=
Waaren	w1163
<g/>
/
und	w1165
Sachen	w1166
<g/>
/
mit	w1168
der	w1169
verrin=gerten	w1170
<g/>
=
Müntze	w1172
<g/>
/
wie	w1174
selbige	w1175
nunmehro	w1176
gäng	w1177
<g/>
=
und	w1179
gebig	w1180
ist	w1181
<g/>
/
bezahlet	w1183
werden	w1184
solten	w1185
<g/>
/
angesehen	w1187
die	w1188
Kauf	w1189
<g/>
=
Leute	w1191
und	w1192
Krämmer	w1193
ihnen	w1194
die	w1195
Waaren	w1196
nach	w1197
dem	w1198
Wehrt	w1199
<g/>
/
wie	w1201
die	w1202
Müntz	w1203
zur	w1204
Zeit	w1205
des	w1206
Accords	w1207
gewesen	w1208
<g/>
/
ver=kauffet	w1210
<g/>
=
haben	w1212
<g/>
/
und	w1214
also	w1215
die	w1216
Verkäuffer	w1217
dop=pelten	w1218
<g/>
=
Vortheil	w1220
finden	w1221
würden	w1222
<g/>
/
wann	w1224
die	w1225
Käufer	w1226
<g/>
/
was	w1228
sie	w1229
solcher	w1230
gestalt	w1231
schuldig	w1232
geworden	w1233
<g/>
/
besagter	w1235
massen	w1236
<g/>
/
in	w1238
der	w1239
nun	w1240
gangbaren	w1241
Müntze	w1242
zu	w1243
erstatten	w1244
verbunden	w1245
seyn	w1246
solten	w1247
<g/>
.
Und	w1249
in	w1250
solcher	w1251
Erwegung	w1252
ha=ben	w1253
<g/>
=
wir	w1255
dann	w1256
<g/>
/
zur	w1258
Erleichterung	w1259
<g/>
/
und	w1261
Gleich=heit	w1262
<g/>
=
auf	w1264
beede	w1265
Seiten	w1266
für	w1267
unsere	w1268
Untertha=nen	w1269
<g/>
=
in	w1271
unseren	w1272
Hertzogthümer	w1273
Schleßwig	w1274
<g/>
/
und	w1276
Hollstein	w1277
<g/>
/
nebst	w1279
darzu	w1280
gehörigen	w1281
Lan=den	w1282
<g/>
=
<g/>
/
zu	w1285
verordnen	w1286
<g/>
/
und	w1288
zu	w1289
befehlen	w1290
<g/>
/
al=lergnädigst	w1292
<g/>
=
für	w1294
gut	w1295
befunden	w1296
<g/>
:
wie	w1298
wir	w1299
auch	w1300
hiermit	w1301
allergnädigst	w1302
veranordnen	w1303
<g/>
/
und	w1305
befehlen	w1306
<g/>
/
daß	w1308
die	w1309
jenige	w1310
welche	w1311
entwe=der	w1312
<g/>
=
an	w1314
Kauf	w1315
<g/>
=
Leute	w1317
<g/>
/
oder	w1319
andere	w1320
<g/>
/
für	w1322
ausländische	w1323
Waaren	w1324
<g/>
/
und	w1326
dergleichen	w1327
Lie=ferungen	w1328
<g/>
=
<g/>
/
etwas	w1331
schuldig	w1332
seyn	w1333
solten	w1334
<g/>
/
selbi=ges	w1336
<g/>
=
in	w1338
anderer	w1339
<g/>
/
dann	w1341
in	w1342
der	w1343
Müntze	w1344
<g/>
/
wie	w1346
selbige	w1347
vor	w1348
der	w1349
Verringerung	w1350
vom	w1351
15	w1352
<g/>
.
jüngst	w1354
<g/>
=
abgewichenen	w1356
Monats	w1357
Julii	w1358
gegol=ten	w1359
<g/>
=
<g/>
/
zu	w1362
bezahlen	w1363
<g/>
;
doch	w1365
wollen	w1366
wir	w1367
aller=gnädigst	w1368
<g/>
=
<g/>
/
daß	w1371
unter	w1372
dieser	w1373
Bezahlung	w1374
kei=ne	w1375
<g/>
=
andere	w1377
<g/>
/
dann	w1379
allein	w1380
Buch	w1381
<g/>
=
Schulden	w1383
für	w1384
ausländische	w1385
Waaren	w1386
<g/>
/
und	w1388
dergleichen	w1389
Lieferung	w1390
<g/>
/
keines	w1392
Wegs	w1393
aber	w1394
Obligatio Obligationes	w1395
<g/>
-
</p>
<p id="p15">
nes	w1399
<g/>
,
Wechsel	w1401
<g/>
=
Brief	w1403
<g/>
/
Reverses	w1405
<g/>
,
Verschrei=bungen	w1407
<g/>
=
<g/>
/
oder	w1410
Schulden	w1411
für	w1412
einländische	w1413
<g/>
/
und	w1415
in	w1416
besagten	w1417
Unseren	w1418
Hertzogthümer	w1419
<g/>
/
nebst	w1421
darzu	w1422
gehörigen	w1423
Landen	w1424
gemachte	w1425
Waaren	w1426
<g/>
/
nebst	w1428
Hand	w1429
<g/>
=
Werker	w1431
<g/>
=
Rechnun=gen	w1433
<g/>
=
<g/>
/
verstanden	w1436
<g/>
/
sondern	w1438
selbige	w1439
in	w1440
der	w1441
nunmehro	w1442
gangbaren	w1443
Müntze	w1444
<g/>
/
oder	w1446
wie	w1447
die	w1448
Beykommende	w1449
des	w1450
Falls	w1451
entweder	w1452
un=ter	w1453
<g/>
=
sich	w1455
selbst	w1456
verglichen	w1457
gewesen	w1458
<g/>
/
oder	w1460
auch	w1461
noch	w1462
sich	w1463
vereinigen	w1464
können	w1465
<g/>
/
bezahlet	w1467
wer=den	w1468
<g/>
=
sollen	w1470
<g/>
:
wornach	w1472
sich	w1473
der	w1474
Beykommende	w1475
allerunterthänigst	w1476
zu	w1477
richten	w1478
<g/>
.
Urkundlich	w1480
unter	w1481
Unserem	w1482
Königl	w1483
<g/>
.
Hand	w1485
<g/>
=
Zeichen	w1487
und	w1488
vorgedrnkten	w1489
Jnsiegel	w1490
Gegeben	w1491
auf	w1492
unse=rem	w1493
<g/>
=
Schlosse	w1495
Friedensberg	w1496
den	w1497
14	w1498
<g/>
.
Augusti	w1500
1726	w1501
<g/>
.
Friderich	w1503
<g/>
.
R	w1505
<g/>
.
</p>
<head id="hl6">
Witehall	w1507
in	w1508
Engelland	w1509
19	w1510
<g/>
.
Aug	w1512
<g/>
.
</head>
<p id="p16">
Briefe	w1514
von	w1515
dem	w1516
Admiral	w1517
Wager	w1518
<g/>
/
unter	w1520
den	w1521
22	w1522
<g/>
.
Juli	w1524
<g/>
/
an	w1526
Bord	w1527
des	w1528
Kriegs	w1529
<g/>
=
Schifs	w1531
Torbay	w1532
in	w1533
der	w1534
Bay	w1535
von	w1536
Reval	w1537
melden	w1538
<g/>
/
daß	w1540
er	w1541
mit	w1542
seinem	w1543
Ge=schwader	w1544
<g/>
=
zusamt	w1546
dem	w1547
Königl	w1548
<g/>
.
Dänni=schen	w1550
<g/>
=
noch	w1552
daselbst	w1553
läge	w1554
<g/>
/
und	w1556
daß	w1557
er	w1558
aus	w1559
allen	w1560
bey	w1561
ihme	w1562
eingeloffenen	w1563
Berichten	w1564
urtheilte	w1565
<g/>
/
es	w1567
wurde	w1568
von	w1569
denen	w1570
Russen	w1571
dieses	w1572
Jahr	w1573
nichts	w1574
unternommen	w1575
wer=den	w1576
<g/>
=
<g/>
;
indessen	w1579
thäten	w1580
sie	w1581
alles	w1582
<g/>
/
was	w1584
sie	w1585
könten	w1586
<g/>
/
ihre	w1588
See	w1589
<g/>
=
Hafen	w1591
zu	w1592
verfestigen	w1593
<g/>
/
und	w1595
ihre	w1596
Schiffe	w1597
in	w1598
Stand	w1599
zu	w1600
bringen	w1601
<g/>
;
zu	w1603
Reval	w1604
hätten	w1605
dieselbe	w1606
eine	w1607
neue	w1608
Bat-terie	w1609
<g/>
-
angeleget	w1611
<g/>
/
und	w1613
wären	w1614
Tag	w1615
und	w1616
Nacht	w1617
an	w1618
Bord	w1619
ihrer	w1620
Schiffe	w1621
<g/>
/
und	w1623
auf	w1624
ihren	w1625
Batterien	w1626
<g/>
/
aus	w1628
Beysorge	w1629
<g/>
/
daß	w1631
sie	w1632
möchten	w1633
überfallen	w1634
werden	w1635
<g/>
.
Jndes=sen	w1637
<g/>
=
hätte	w1639
unser	w1640
Admiral	w1641
die	w1642
Freyheit	w1643
sein	w1644
Geschwader	w1645
mit	w1646
frischen	w1647
Lebens	w1648
<g/>
=
Mitteln	w1650
zu	w1651
versehen	w1652
<g/>
/
so	w1654
oft	w1655
es	w1656
ihme	w1657
be=liebte	w1658
<g/>
=
und	w1660
die	w1661
Russen	w1662
bezeigten	w1663
sich	w1664
ge=gen	w1665
<g/>
=
unser	w1667
an	w1668
das	w1669
Land	w1670
kommende	w1671
Volk	w1672
sehr	w1673
höflich	w1674
<g/>
.
</p>
<head id="hl7">
Brüssel	w1676
19	w1677
<g/>
.
Augusti	w1679
<g/>
.
</head>
<p id="p17">
Verwichenen	w1681
Mittwoch	w1682
erhielte	w1683
Jhre	w1684
Durchl	w1685
<g/>
.
die	w1687
Ertz	w1688
<g/>
=
Hertzogin	w1690
von	w1691
Wien	w1692
die	w1693
</p>
<p id="p18">
Zeitung	w1694
<g/>
/
daß	w1696
Jhre	w1697
Kaiserliche	w1698
Majestät	w1699
6	w1700
<g/>
.
Cammer	w1702
<g/>
=
Herren	w1704
für	w1705
Jhre	w1706
Durchl	w1707
<g/>
.
ernannt	w1709
hätte	w1710
<g/>
/
nemlich	w1712
den	w1713
Herrn	w1714
Grafen	w1715
von	w1716
Bour-nonville	w1717
<g/>
-
<g/>
,
Gouverneur	w1720
zu	w1721
Dendermode	w1722
<g/>
,
den	w1724
Herrn	w1725
Grafen	w1726
von	w1727
Bomerg	w1728
<g/>
,
den	w1730
Herrn	w1731
Marquis	w1732
von	w1733
Herzel	w1734
<g/>
,
den	w1736
Herrn	w1737
Grafen	w1738
von	w1739
Dongelberg	w1740
<g/>
/
den	w1742
Freyherrn	w1743
von	w1744
Cou-rier	w1745
<g/>
-
d'Ours	w1747
<g/>
,
und	w1749
den	w1750
Freyherrn	w1751
von	w1752
Kie-segem	w1753
<g/>
-
alle	w1755
6	w1756
<g/>
.
von	w1758
dem	w1759
Niederländischen	w1760
Adel	w1761
<g/>
.
</p>
<p id="p19">
Selbigen	w1763
Abend	w1764
lieffe	w1765
auch	w1766
bey	w1767
Jhro	w1768
Durchl	w1769
<g/>
.
die	w1771
angenehme	w1772
Nachricht	w1773
ein	w1774
<g/>
/
daß	w1776
die	w1777
Flanderischen	w1778
Stände	w1779
in	w1780
ihrer	w1781
zu	w1782
Gent	w1783
gehaltenen	w1784
Versammlung	w1785
beschlossen	w1786
hätten	w1787
<g/>
/
ihre	w1789
Beysteuer	w1790
für	w1791
das	w1792
jetzt	w1793
<g/>
=
lauffende	w1795
Jahr	w1796
eben	w1797
so	w1798
<g/>
/
wie	w1800
in	w1801
dem	w1802
vorigen	w1803
<g/>
/
als	w1805
1500000	w1806
<g/>
.
Gulden	w1808
<g/>
/
zu	w1810
bezahlen	w1811
<g/>
.
</p>
<p id="p20">
Am	w1813
Donnerstag	w1814
erhube	w1815
sich	w1816
Höchst	w1817
<g/>
=
ge=dachte	w1819
<g/>
=
Jhre	w1821
Durchl	w1822
<g/>
.
nach	w1824
<g/>
=
Mittag	w1826
mit	w1827
ih=rem	w1828
<g/>
=
gewöhnlichen	w1830
Gefolg	w1831
nach	w1832
der	w1833
Kirche	w1834
deren	w1835
reichen	w1836
Tonnen	w1837
St	w1838
<g/>
.
Claræ Clarae	w1840
-Ordens	w1841
<g/>
/
alwo	w1843
sie	w1844
dem	w1845
Lob	w1846
<g/>
=
Gesang	w1848
beywohnete	w1849
<g/>
.
</p>
<p id="p21">
Gestern	w1851
nach	w1852
<g/>
=
Mittag	w1854
fuhre	w1855
die	w1856
Durchl	w1857
<g/>
.
Gubernantin	w1859
mit	w1860
ihren	w1861
Dames	w1862
<g/>
,
und	w1864
übri=gen	w1865
<g/>
=
Gefolg	w1867
nach	w1868
Lake	w1869
alda	w1870
ihre	w1871
Andacht	w1872
zu	w1873
verrichten	w1874
<g/>
.
</p>
<p id="p22">
Die	w1876
Stadt	w1877
Ostende	w1878
<g/>
/
in	w1880
Betrachtung	w1881
<g/>
/
daß	w1883
ihr	w1884
von	w1885
der	w1886
Regierung	w1887
auf	w1888
40	w1889
<g/>
.
Jahr	w1891
die	w1892
Erlassung	w1893
alles	w1894
Aufschlages	w1895
von	w1896
Eß	w1897
<g/>
=
Waaren	w1899
verwilliget	w1900
worden	w1901
<g/>
/
hat	w1903
die	w1904
Obligen=heit	w1905
<g/>
=
den	w1907
Hafen	w1908
auszubesseren	w1909
<g/>
/
