<doc id="edoc_wd_1722-10-31" attrs="word" year="1722" month="10" day="31" corpus="1">
<head id="hl1">
Madrid	w52
<g/>
=
deren	w286
aufgehalten	w287
Moren	w288
zu	w289
Cadix	w290
die	w291
nachfolgende	w292
Antwort	w293
zugeschicket	w294
<g/>
.
</p>
<p id="p8">
DEmnach	w296
Jhre	w297
Majestät	w298
der	w299
König	w300
die	w301
Vorstellungen	w302
<g/>
/
welche	w304
ihr	w305
den	w306
5	w307
<g/>
.
die=ses	w309
<g/>
=
wegen	w311
Verweigerung	w312
dessen	w313
<g/>
/
daß	w315
man	w316
die	w317
den	w318
20	w319
<g/>
.
Junii	w321
von	w322
der	w323
Holländischen	w324
Escadre	w325
gefangen	w326
genommene	w327
Mohren	w328
zu	w329
Cadix	w330
nicht	w331
habe	w332
wollen	w333
ausschiffen	w334
<g/>
/
und	w336
verkauffen	w337
lassen	w338
<g/>
/
schriftlich	w340
übergeben	w341
ha=bet	w342
<g/>
=
<g/>
/
sich	w345
gehorsamnst	w346
haben	w347
vortragen	w348
las=sen	w349
<g/>
=
<g/>
/
Jhre	w352
Majestät	w353
auch	w354
dieselbe	w355
in	w356
milde=ste	w357
<g/>
=
Erwegung	w359
genommen	w360
<g/>
/
so	w362
haben	w363
höchst=besagte	w364
<g/>
=
Jhre	w366
Majestät	w367
entschlossen	w368
<g/>
/
dem	w370
General	w371
<g/>
=
Gouverneur	w373
jener	w374
Stadt	w375
Befehl	w376
zuzuschicken	w377
<g/>
/
daß	w379
er	w380
die	w381
Verkauffung	w382
ge=meldter	w383
<g/>
=
Mohren	w385
nicht	w386
allein	w387
geschehen	w388
las=sen	w389
<g/>
=
<g/>
/
sondern	w392
zu	w393
deselben	w394
vielmehr	w395
noch	w396
be=hülflich	w397
<g/>
=
seyn	w399
solle	w400
<g/>
/
ohne	w402
den	w403
geringsten	w404
Ein=trag	w405
<g/>
=
<g/>
/
oder	w408
Hindernus	w409
hierin	w410
zu	w411
thun	w412
<g/>
/
al=so	w414
<g/>
=
daß	w416
der	w417
Contre	w418
Admiral	w419
Grave	w420
nach	w421
sei=nem	w422
<g/>
=
Wolgefallen	w424
damit	w425
disponiren	w426
möge	w427
<g/>
.
Balsain	w429
den	w430
17	w431
<g/>
.
Sept	w433
<g/>
.
1722	w435
<g/>
.
</p>
<head id="hl2">
Montpelier	w437
28	w438
<g/>
.
Sept	w440
<g/>
.
</head>
<p id="p9">
Man	w442
geniesset	w443
nunmehro	w444
überall	w445
ei=ner	w446
<g/>
=
erwünschten	w448
Gesundheit	w449
<g/>
:
zu	w451
Mende	w452
hat	w453
man	w454
albereits	w455
seither	w456
35	w457
<g/>
.
Tagen	w459
her	w460
keine	w461
Krancke	w462
mehr	w463
gehabt	w464
<g/>
/
und	w466
gehet	w467
die	w468
so	w469
wol	w470
in	w471
besagter	w472
Stadt	w473
<g/>
/
als	w475
in	w476
allen	w477
anderen	w478
Oerteren	w479
angefangene	w480
Aussäuberung	w481
der	w482
Häuser	w483
<g/>
/
und	w485
Effe-cten	w486
<g/>
-
zu	w488
Ende	w489
<g/>
.
</p>
<p id="p10">
Es	w491
seynd	w492
auch	w493
nunmehro	w494
albereits	w495
4	w496
<g/>
.
</p>
<p id="p11">
und	w500
ein	w501
halber	w502
Monat	w503
verflossen	w504
<g/>
/
daß	w506
man	w507
in	w508
keinen	w509
angesteckt	w510
<g/>
=
gewesenen	w512
Ort	w513
einige	w514
Krancke	w515
gehabt	w516
hat;	w517
ja	w518
die	w519
meh=resten	w520
<g/>
=
seynd	w522
alschon	w523
ein	w524
gantzes	w525
Jahr	w526
lang	w527
davon	w528
befreyet	w529
<g/>
/
also	w531
daß	w532
wir	w533
der	w534
zuversichtlichen	w535
Hofnung	w536
leben	w537
<g/>
/
daß	w539
das	w540
mit	w541
der	w542
Provintz	w543
von	w544
Languedoc	w545
eröf=nete	w546
<g/>
=
Commercium	w548
von	w549
keiner	w550
gefährli=chen	w551
<g/>
=
Folge	w553
seyn	w554
werde	w555
<g/>
/
und	w557
geschiehet	w558
es	w559
nur	w560
zu	w561
einer	w562
überflüssigen	w563
Vorsorge	w564
<g/>
/
daß	w566
die	w567
an	w568
denen	w569
in	w570
Verdacht	w571
gewese=nen	w572
<g/>
=
Oerteren	w574
gemachte	w575
Linien	w576
noch	w577
er=halten	w578
<g/>
=
<g/>
/
auch	w581
anbey	w582
so	w583
scharf	w584
<g/>
/
als	w586
wann	w587
die	w588
Seuche	w589
noch	w590
in	w591
ihrer	w592
höchsten	w593
Wut	w594
wäre	w595
<g/>
/
verwahret	w597
werden	w598
<g/>
.
</p>
<p id="p12">
Von	w600
Avignon	w601
wird	w602
berichtet	w603
unterm	w604
14	w605
<g/>
.
dieses	w607
<g/>
/
daß	w609
den	w610
10	w611
<g/>
.
sich	w613
zwar	w614
ein	w615
der	w616
Seuche	w617
nicht	w618
unähnlicher	w619
Zufall	w620
bey	w621
dem	w622
Tod	w623
eines	w624
jungen	w625
Knabens	w626
ereig=net	w627
<g/>
=
hat	w629
<g/>
/
welches	w631
aber	w632
mehreren	w633
Theils	w634
des	w635
Unvernunft	w636
des	w637
Vatters	w638
<g/>
/
so	w640
bey	w641
Ausführung	w642
einiger	w643
alten	w644
Lumpen	w645
den	w646
Knaben	w647
in	w648
den	w649
Karren	w650
<g/>
/
wo	w652
vermutlich	w653
verdächtig	w654
<g/>
/
und	w656
Seuche	w657
<g/>
=
fähige	w659
Sachen	w660
gewesen	w661
<g/>
/
gesetzet	w663
hat	w664
<g/>
/
zugeschrieben	w666
wird	w667
<g/>
.
Diesen	w669
aber	w670
ungeachtet	w671
wird	w672
versichert	w673
<g/>
/
daß	w675
sothane	w676
Begebenheit	w677
von	w678
keiner	w679
bösen	w680
Folgerung	w681
seyn	w682
werde;	w683
und	w684
solle	w685
die	w686
Aussäuberung	w687
der	w688
Stadt	w689
den	w690
12	w691
<g/>
.
October	w693
seine	w694
Endschaft	w695
errei=chen;	w696
<g/>
=
ein	w698
selbiges	w699
geschiehet	w700
auch	w701
in	w702
al=len	w703
<g/>
=
anderen	w705
Flecken	w706
<g/>
/
und	w708
Oerteren	w709
be=sagter	w710
<g/>
=
Grafschaft	w712
<g/>
.
</p>
<head id="hl3">
Marseille	w714
24	w715
<g/>
.
September	w717
<g/>
.
</head>
<p id="p13">
Die	w719
alhier	w720
angefangene	w721
Aussäube=rung	w722
<g/>
=
der	w724
Häuser	w725
gehet	w726
glücklich	w727
von	w728
stat=ten	w729
<g/>
=
<g/>
/
und	w732
thun	w733
wir	w734
von	w735
einer	w736
anstecken=den	w737
<g/>
=
Seuche	w739
nicht	w740
das	w741
geringste	w742
mehr	w743
ver=spühren	w744
<g/>
=
<g/>
.
Die	w747
seither	w748
2	w749
<g/>
.
Jahren	w751
her	w752
hieher	w753
geschickte	w754
Medici	w755
<g/>
,
Wund	w757
<g/>
=
Artz=ten	w759
<g/>
=
<g/>
/
und	w762
andere	w763
Hülfs	w764
<g/>
=
Personen	w766
<g/>
/
seynd	w768
endlichen	w769
den	w770
22	w771
<g/>
.
dieses	w773
in	w774
einer	w775
Anzahl	w776
von	w777
70	w778
<g/>
.
Personen	w780
von	w781
hier	w782
wiederum	w783
</p>
<p id="p14">
weggereiset	w784
<g/>
/
immassen	w786
weder	w787
dahier	w788
<g/>
/
noch	w790
in	w791
anderen	w792
angesteckt	w793
<g/>
=
gewesenen	w795
Oerteren	w796
etwas	w797
Pestilentzialisches	w798
mehr	w799
verspühret	w800
wird	w801
<g/>
.
</p>
<head id="hl4">
Londen	w803
13	w804
<g/>
.
October	w806
<g/>
.
</head>
<p id="p15">
Es	w808
ist	w809
nicht	w810
nur	w811
der	w812
Graf	w813
von	w814
Orre=ry	w815
<g/>
=
<g/>
/
sondern	w818
auch	w819
der	w820
Lord	w821
North	w822
und	w823
Gray	w824
über	w825
Hochverraht	w826
in	w827
den	w828
Tour	w829
gesetzet	w830
worden	w831
<g/>
/
und	w833
wiewolen	w834
die	w835
Ge=malin	w836
<g/>
=
des	w838
letzteren	w839
die	w840
Regierung	w841
mit=telst	w842
<g/>
=
einer	w844
überreichten	w845
Bitschrift	w846
um	w847
Erlaubnus	w848
gebeten	w849
<g/>
/
ihren	w851
Ehe	w852
<g/>
=
Herrn	w854
unter	w855
solcher	w856
Restriction	w857
<g/>
,
so	w859
man	w860
ihr	w861
vorschreiben	w862
würde	w863
<g/>
/
zu	w865
besuchen	w866
<g/>
/
so	w868
zweifelt	w869
man	w870
doch	w871
<g/>
/
daß	w873
ihr	w874
solche	w875
wird	w876
gegeben	w877
werden	w878
<g/>
.
</p>
<p id="p16">
Der	w880
ebenfals	w881
gefangen	w882
sitzende	w883
Ad=vocat	w884
<g/>
=
Laire	w886
wurde	w887
gestern	w888
wol	w889
5	w890
<g/>
.
Stund	w892
lang	w893
vor	w894
einem	w895
Committé	w896
des	w897
Rahts	w898
unterfraget	w899
<g/>
/
da	w901
er	w902
dann	w903
<g/>
/
wie	w905
man	w906
sagt	w907
<g/>
/
aufs	w909
neue	w910
eine	w911
ausführliche	w912
Entdeckung	w913
in	w914
Ansehung	w915
der	w916
letztern	w917
vorgewesenen	w918
Conspiration	w919
wider	w920
den	w921
König	w922
<g/>
/
und	w924
seine	w925
Regierung	w926
solle	w927
gethan	w928
haben	w929
<g/>
/
und	w931
hat	w932
man	w933
unter	w934
dessen	w935
Schriften	w936
ein	w937
Pa=tent	w938
<g/>
=
vom	w940
Prætendenten	w941
gefunden	w942
<g/>
/
wor=innen	w944
<g/>
=
er	w946
von	w947
diesem	w948
zu	w949
seinem	w950
Groß=Canzler	w951
<g/>
=
erkläret	w953
ist	w954
<g/>
.
Dieses	w956
Advoca=ten	w957
<g/>
=
Frau	w959
<g/>
/
welche	w961
zwey	w962
Staats	w963
<g/>
=
Boh=ten	w965
<g/>
=
gefänglich	w967
hier	w968
eingebracht	w969
<g/>
/
ist	w971
auch	w972
schon	w973
verschiedene	w974
mal	w975
durch	w976
einen	w977
Stats	w978
<g/>
=
Secretarium	w980
examiniret	w981
worden	w982
<g/>
.
</p>
<p id="p17">
Von	w984
dem	w985
Land	w986
seynd	w987
auch	w988
wieder	w989
2	w990
<g/>
.
Edelleute	w992
<g/>
/
und	w994
ein	w995
Prediger	w996
von	w997
der	w998
Engl	w999
ische	w1000
n	w1001
Kirche	w1002
gefangen	w1003
anhero	w1004
ge=bracht	w1005
<g/>
=
<g/>
/
und	w1008
unter	w1009
die	w1010
Verwahrung	w1011
ver=schiedener	w1012
<g/>
=
Staats	w1014
<g/>
=
Botten	w1016
gesetzet	w1017
wor=den	w1018
<g/>
=
<g/>
.
Nachdem	w1021
die	w1022
Anzahl	w1023
der	w1024
Staats=Gefangenen	w1025
<g/>
=
in	w1027
dem	w1028
Tour	w1029
sehr	w1030
groß	w1031
ist	w1032
<g/>
/
so	w1034
hat	w1035
der	w1036
Gouverneur	w1037
dieser	w1038
Festung	w1039
<g/>
/
Graf	w1041
von	w1042
Carlisle	w1043
<g/>
/
dem	w1045
Major	w1046
<g/>
/
Ker=ckermeister	w1048
<g/>
=
<g/>
/
und	w1051
denen	w1052
Wachten	w1053
anbe=fohlen	w1054
<g/>
=
<g/>
/
ihre	w1057
Pflicht	w1058
wol	w1059
in	w1060
acht	w1061
zu	w1062
neh	w1063
<g/>
=
</p>
<p id="p18">
men	w1067
<g/>
.
Die	w1069
Cavallerie	w1070
hat	w1071
auch	w1072
Ordre	w1073
<g/>
/
so	w1075
lang	w1076
in	w1077
dem	w1078
Lager	w1079
in	w1080
Hideparc	w1081
stehen	w1082
zu	w1083
bleiben	w1084
<g/>
/
bis	w1086
ihnen	w1087
ein	w1088
anderer	w1089
Be=fehl	w1090
<g/>
=
zukommen	w1092
werde	w1093
<g/>
.
Jndessen	w1095
fän=get	w1096
<g/>
=
man	w1098
an	w1099
<g/>
/
in	w1101
der	w1102
Stadt	w1103
Westmün=ster	w1104
<g/>
=
die	w1106
Stallungen	w1107
für	w1108
die	w1109
Pferde	w1110
derer	w1111
Gardes	w1112
<g/>
/
und	w1114
Grenadiers	w1115
zu	w1116
praepari-ren	w1117
<g/>
-
<g/>
.
Jngleichen	w1120
beginnet	w1121
auch	w1122
die	w1123
Jn=fanterie	w1124
<g/>
=
in	w1126
besagtem	w1127
Lager	w1128
sich	w1129
zu	w1130
bara-quiren	w1131
<g/>
-
<g/>
/
um	w1134
im	w1135
Fall	w1136
der	w1137
Noht	w1138
desto	w1139
nä=her	w1140
<g/>
=
zu	w1142
seyn	w1143
<g/>
.
Man	w1145
glaubt	w1146
<g/>
/
daß	w1148
auch	w1149
die	w1150
3	w1151
<g/>
.
Cavallerie	w1153
<g/>
=
Regimenter	w1155
<g/>
/
welche	w1157
bey	w1158
Onslow	w1159
campirt	w1160
haben	w1161
<g/>
/
auf	w1163
dem	w1164
platten	w1165
Land	w1166
um	w1167
diese	w1168
Stadt	w1169
werden	w1170
einquatirt	w1171
werden	w1172
<g/>
.
</p>
<p id="p19">
P	w1174
<g/>
.
S	w1176
<g/>
.
Sogleich	w1178
bey	w1179
Abgang	w1180
der	w1181
Post	w1182
vernimt	w1183
man	w1184
<g/>
/
daß	w1186
noch	w1187
verschiedene	w1188
Personen	w1189
von	w1190
Distinction	w1191
<g/>
,
welche	w1193
an	w1194
obiger	w1195
Conspiration	w1196
Theil	w1197
haben	w1198
<g/>
/
arre=tirt	w1200
<g/>
=
werden	w1202
solten	w1203
<g/>
.
</p>
<head id="hl5">
Paris	w1205
16	w1206
<g/>
.
October	w1208
<g/>
.
</head>
<p id="p20">
Heut	w1210
wird	w1211
der	w1212
König	w1213
von	w1214
Versail=les	w1215
<g/>
=
alhier	w1217
erwartet	w1218
<g/>
/
um	w1220
morgen	w1221
so	w1222
fer=ner	w1223
<g/>
=
nach	w1225
Rheims	w1226
zu	w1227
gehen	w1228
<g/>
/
von	w1230
wan=nen	w1231
<g/>
=
Se	w1233
<g/>
.
Majest	w1235
<g/>
.
den	w1237
9	w1238
<g/>
.
nächstkünftigen	w1240
Monats	w1241
wieder	w1242
zu	w1243
Versailles	w1244
seyn	w1245
wol=len	w1246
<g/>
=
<g/>
.
</p>
<p id="p21">
Zufolg	w1249
Brieffen	w1250
von	w1251
Marseille	w1252
<g/>
/
un=term	w1254
<g/>
=
1sten	w1256
dieses	w1257
<g/>
/
wäre	w1259
man	w1260
alda	w1261
noch	w1262
mit	w1263
der	w1264
General	w1265
<g/>
=
Reinigung	w1267
beschäfti=get	w1268
<g/>
=
<g/>
/
und	w1271
hätte	w1272
man	w1273
<g/>
/
auf	w1275
Befehl	w1276
des	w1277
Bischofs	w1278
selbiger	w1279
Stadt	w1280
<g/>
/
den	w1282
27	w1283
<g/>
.
Sept	w1285
<g/>
.
in	w1287
dortiger	w1288
Haupt	w1289
<g/>
=
Kirche	w1291
das	w1292
Te	w1293
Deum	w1294
mit	w1295
grosser	w1296
Magnificence	w1297
gesun=gen	w1298
<g/>
=
<g/>
/
um	w1301
dem	w1302
barmhertzigen	w1303
<g/>
/
und	w1305
gü=tigen	w1306
<g/>
=
GOtt	w1308
zu	w1309
dancken	w1310
<g/>
/
daß	w1312
derselbe	w1313
<g/>
/
durch	w1315
seine	w1316
unendliche	w1317
Gnade	w1318
<g/>
/
die	w1320
an=steckende	w1321
<g/>
=
Seuche	w1323
<g/>
/
welche	w1325
so	w1326
viele	w1327
1000	w1328
<g/>
.
Menschen	w1330
in	w1331
selbiger	w1332
Stadt	w1333
<g/>
/
und	w1335
Nach=barschaft	w1336
<g/>
=
<g/>
/
aus	w1339
dieser	w1340
Zeitlichkeit	w1341
hinweg	w1342
gerissen	w1343
<g/>
/
cessiren	w1345
lassen	w1346
<g/>
/
wie	w1348
dann	w1349
auch	w1350
den	w1351
2	w1352
<g/>
.
dieses	w1354
ein	w1355
sehr	w1356
solennes	w1357
Fest	w1358
<g/>
/
zu	w1360
Ehren	w1361
des	w1362
heiligen	w1363
Hertz	w1364
JEsu	w1365
<g/>
/
ange	w1367
<g/>
=
</p>
<p id="p22">
fangen	w1369
werden	w1370
<g/>
/
und	w1372
8	w1373
<g/>
.
Tage	w1375
lang	w1376
wä=ren	w1377
<g/>
=
solle	w1379
<g/>
.
Das	w1381
Mandement	w1382
<g/>
,
welches	w1384
ermeldter	w1385
Bischof	w1386
deswegen	w1387
ausgehen	w1388
lassen	w1389
<g/>
/
und	w1391
alhier	w1392
mit	w1393
dem	w1394
Druck	w1395
ge=mein	w1396
<g/>
=
gemacht	w1398
worden	w1399
<g/>
/
ist	w1401
ungemein	w1402
Christlich	w1403
und	w1404
beweglich	w1405
<g/>
/
daher	w1407
es	w1408
auch	w1409
sehr	w1410
gerühmet	w1411
wird	w1412
<g/>
.
</p>
<head id="hl6">
Brüssel	w1414
20	w1415
<g/>
.
October	w1417
<g/>
.
</head>
<p id="p23">
Mit	w1419
Briefen	w1420
von	w1421
Cammerich	w1422
hat	w1423
man	w1424
<g/>
/
daß	w1426
der	w1427
Frantzösische	w1428
Bevollmäch=tigte	w1429
<g/>
=
Ambassadeur	w1431
Graf	w1432
von	w1433
Morville	w1434
den	w1435
14	w1436
<g/>
.
<g/>
/
und	w1439
der	w1440
Gros	w1441
<g/>
=
Brittannische	w1443
Bevollmächtigte	w1444
Ambassadeur	w1445
Milord	w1446
Withwort	w1447
den	w1448
15	w1449
<g/>
.
dieses	w1451
des	w1452
Abends	w1453
unter	w1454
Lösung	w1455
sowol	w1456
der	w1457
Stücken	w1458
von	w1459
der	w1460
Stadt	w1461
<g/>
/
als	w1463
Citadelle	w1464
<g/>
/
alda	w1466
von	w1467
Paris	w1468
angelangt	w1469
wären	w1470
<g/>
/
dannenhero	w1472
man	w1473
nun	w1474
für	w1475
gewis	w1476
glaubet	w1477
<g/>
/
daß	w1479
der	w1480
Congreß	w1481
bald	w1482
seinen	w1483
Anfang	w1484
werde	w1485
nehmen	w1486
<g/>
/
sin=temalen	w1488
<g/>
=
nun	w1490
alle	w1491
Ambasadeurs	w1492
daselbst	w1493
gegenwärtig	w1494
seyn	w1495
<g/>
.
Se	w1497
<g/>
.
Excellentz	w1499
der	w1500
Kaiserl	w1501
<g/>
.
Ambassadeur	w1503
Plenipotentiarius	w1504
Herr	w1505
Graf	w1506
Windischgratz	w1507
machten	w1508
gros=se	w1509
<g/>
=
Anstalten	w1511
<g/>
/
um	w1513
den	w1514
4	w1515
<g/>
.
künftigen	w1517
Mo=nats	w1518
<g/>
=
das	w1520
Fest	w1521
des	w1522
Heil	w1523
<g/>
.
Caroli	w1525
<g/>
/
und	w1527
mithin	w1528
den	w1529
hohen	w1530
Namens	w1531
<g/>
=
Tag	w1533
Sr	w1534
<g/>
.
Kaiserl	w1536
<g/>
.
Majestät	w1538
mit	w1539
grosser	w1540
Magnifi	w1541
<g/>
-
cence	w1543
zu	w1544
celebriren	w1545
<g/>
.
</p>
<head id="hl7">
Cöln	w1547
22	w1548
<g/>
.
October	w1550
<g/>
.
</head>
<p id="p24">
Den	w1552
18	w1553
<g/>
.
dieses	w1555
Nachmitags	w1556
<g/>
/
ist	w1558
in	w1559
der	w1560
Stadt	w1561
Schwelm	w1562
eine	w1563
grosse	w1564
Feurs=Brunst	w1565
<g/>
=
entstanden	w1567
<g/>
/
durch	w1569
welche	w1570
in	w1571
4	w1572
<g/>
.
Stunden	w1574
Zeit	w1575
über	w1576
100	w1577
<g/>
.
Häuser	w1579
in	w1580
die	w1581
Asche	w1582
geleget	w1583
worden	w1584
<g/>
.
</p>
<head id="hl8">
Petersburg	w1586
26	w1587
<g/>
.
September	w1589
<g/>
.
</head>
<p id="p25">
Man	w1591
erwartet	w1592
nun	w1593
mit	w1594
dem	w1595
allerer=sten	w1596
<g/>
=
Jhro	w1598
Hoheit	w1599
den	w1600
Hertzog	w1601
von	w1602
Holl=stein	w1603
<g/>
=
in	w1605
dieser	w1606
Stadt	w1607
<g/>
/
massen	w1609
bereits	w1610
de=ro	w1611
<g/>
=
Hof	w1613
<g/>
=
Fouriers	w1615
hieselbst	w1616
angelanget	w1617
seynd	w1618
<g/>
/
um	w1620
ein	w1621
<g/>
=
und	w1623
das	w1624
andere	w1625
gegen	w1626
die	w1627
Ankunft	w1628
Jhro	w1629
Hoheit	w1630
zu	w1631
veran=stalten	w1632
<g/>
=
<g/>
.
</p>
<p id="p26">
Noch	w1638
hat	w1639
man	w1640
nicht	w1641
das	w1642
versprochene	w1643
Journal	w1644
von	w1645
Jhro	w1646
Majestät	w1647
Unterneh=mungen	w1648
<g/>
=
zu	w1650
sehen	w1651
bekommen	w1652
<g/>
/
als	w1654
wel=ches	w1655
<g/>
=
die	w1657
hohe	w1658
Regierung	w1659
auf	w1660
expressen	w1661
Befehl	w1662
zu	w1663
publiciren	w1664
beordert	w1665
seyn	w1666
soll=und	w1667
<g/>
=
haben	w1669
die	w1670
von	w1671
unserer	w1672
Armee	w1673
über	w1674
Moscau	w1675
eingelauffene	w1676
Briefe	w1677
<g/>
/
so	w1679
vom	w1680
15	w1681
<g/>
.
dieses	w1683
datirt	w1684
<g/>
/
mitgebracht	w1686
<g/>
/
daß	w1688
Seine	w1689
Russische	w1690
Majestät	w1691
nach	w1692
der	w1693
glück=lichen	w1694
<g/>
=
Landung	w1696
in	w1697
Persien	w1698
sich	w1699
eines	w1700
grossen	w1701
aus	w1702
5000	w1703
<g/>
.
Häusern	w1705
bestehenden	w1706
Dorffes	w1707
<g/>
/
Namens	w1709
Andre	w1710
<g/>
/
ohne	w1712
son=derlichen	w1713
<g/>
=
Widerstand	w1715
zu	w1716
fnden	w1717
<g/>
/
be=mächtiget	w1719
<g/>
=
haben	w1721
<g/>
.
Jn	w1723
dasigen	w1724
Gegen=den	w1725
<g/>
=
sollen	w1727
viele	w1728
alte	w1729
Säulen	w1730
<g/>
/
und	w1732
an=dere	w1733
<g/>
=
Denckmahle	w1735
<g/>
/
so	w1737
man	w1738
zur	w1739
Zeit	w1740
der	w1741
vom	w1742
Alexandro	w1743
Magno	w1744
der	w1745
Orten	w1746
ge=führten	w1747
<g/>
=
Kriege	w1749
aufgerichtet	w1750
zu	w1751
seyn	w1752
glau=bet	w1753
<g/>
=
<g/>
/
angetroffen	w1756
werden	w1757
<g/>
.
</p>
<p id="p27">
Am	w1759
13	w1760
<g/>
.
dieses	w1762
seynd	w1763
auch	w1764
Jh	w1765
<g/>
.
Durchl	w1767
<g/>
.
die	w1769
Hertzogin	w1770
von	w1771
Mecklenburg	w1772
zu	w1773
Js=mailof	w1774
<g/>
=
<g/>
/
so	w1777
einige	w1778
Meile	w1779
von	w1780
Moscau	w1781
ge=legen	w1782
<g/>
=
<g/>
/
und	w1785
der	w1786
verwittibten	w1787
Czarin	w1788
ih=rer	w1789
<g/>
=
Frau	w1791
Mutter	w1792
Residentz	w1793
ist	w1794
<g/>
/
ankom=men	w1796
<g/>
=
<g/>
.
</p>
<head id="hl9">
Warschau	w1799
17	w1800
<g/>
.
Octob	w1802
<g/>
.
</head>
<p id="p28">
Den	w1804
10	w1805
<g/>
.
dieses	w1807
daurte	w1808
die	w1809
Session	w1810
noch	w1811
kurtzere	w1812
Zeit	w1813
als	w1814
die	w1815
gestrige	w1816
<g/>
/
dann	w1818
obwol	w1819
einer	w1820
deren	w1821
Herren	w1822
Land	w1823
<g/>
=
Boh=ten	w1825
<g/>
=
die	w1827
Materie	w1828
von	w1829
dem	w1830
Comando	w1831
aufs	w1832
Tapet	w1833
bringen	w1834
wolte	w1835
<g/>
/
so	w1837
wiche	w1838
er	w1839
doch	w1840
hernach	w1841
von	w1842
selbsten	w1843
wieder	w1844
davon	w1845
<g/>
/
und	w1847
limitirte	w1848
also	w1849
der	w1850
Herr	w1851
Marschall	w1852
die	w1853
Session	w1854
bis	w1855
auf	w1856
den	w1857
Montag	w1858
<g/>
/
den	w1860
12	w1861
<g/>
.
Octob	w1863
<g/>
.
Diese	w1865
Session	w1866
wurde	w1867
mit	w1868
verschiedenen	w1869
Discursen	w1870
von	w1871
den	w1872
Quar=tieren	w1873
<g/>
=
derer	w1875
Land	w1876
<g/>
=
Bohten	w1878
angefangen	w1879
<g/>
/
und	w1881
damit	w1882
auch	w1883
eine	w1884
Zeit	w1885
continuiret	w1886
<g/>
/
worüber	w1888
